S.No.,country,imp_inr_cr,year
1,AFGHANISTAN,"3,806.02",202122
2,ALBANIA,228.83,202122
3,ALGERIA,"7,494.23",202122
4,AMERI SAMOA,0.02,202122
5,ANDORRA,0.00,202122
6,ANGOLA,"20,362.32",202122
7,ANGUILLA,0.21,202122
8,ANTARTICA,9.11,202122
9,ANTIGUA,0.99,202122
10,ARGENTINA,"31,329.06",202122
11,ARMENIA,"1,006.19",202122
12,ARUBA,13.15,202122
13,AUSTRALIA,"1,25,029.83",202122
14,AUSTRIA,"6,151.16",202122
15,AZERBAIJAN,785.60,202122
16,BAHAMAS,26.18,202122
17,BAHARAIN IS,"5,629.61",202122
18,BANGLADESH PR,"14,749.50",202122
19,BARBADOS,6.27,202122
20,BELARUS,"2,841.38",202122
21,BELGIUM,"74,176.79",202122
22,BELIZE,3.70,202122
23,BENIN,"2,984.35",202122
24,BERMUDA,0.09,202122
25,BHUTAN,"4,054.17",202122
26,BOLIVIA,"15,459.12",202122
27,BOSNIA-HRZGOVIN,22.58,202122
28,BOTSWANA,"3,930.42",202122
29,BR VIRGN IS,109.20,202122
30,BRAZIL,"42,574.59",202122
31,BRUNEI,"2,927.93",202122
32,BULGARIA,"1,292.71",202122
33,BURKINA FASO,"3,172.66",202122
34,BURUNDI,0.30,202122
35,C AFRI REP,1.39,202122
36,CAMBODIA,709.08,202122
37,CAMEROON,"6,063.64",202122
38,CANADA,"23,350.22",202122
39,CAPE VERDE IS,34.46,202122
40,CAYMAN IS,0.69,202122
41,CHAD,22.30,202122
42,CHILE,"10,182.35",202122
43,CHINA P RP,"7,05,123.13",202122
44,CHRISTMAS IS.,0.25,202122
45,COLOMBIA,"22,131.69",202122
46,COMOROS,111.00,202122
47,CONGO D. REP.,234.17,202122
48,CONGO P REP,"9,834.78",202122
49,COOK IS,0.00,202122
50,COSTA RICA,471.03,202122
51,COTE D' IVOIRE,"3,514.48",202122
52,CROATIA,441.94,202122
53,CUBA,7.40,202122
54,CYPRUS,555.90,202122
55,CZECH REPUBLIC,"4,409.90",202122
56,DENMARK,"6,644.39",202122
57,DJIBOUTI,310.28,202122
58,DOMINIC REP,"4,842.46",202122
59,DOMINICA,1.42,202122
60,ECUADOR,"7,537.82",202122
61,EGYPT A RP,"26,236.28",202122
62,EL SALVADOR,30.59,202122
63,EQUTL GUINEA,"6,581.12",202122
64,ERITREA,0.92,202122
65,ESTONIA,538.83,202122
66,ETHIOPIA,464.02,202122
67,FIJI IS,3.66,202122
68,FINLAND,"6,538.35",202122
69,FR GUIANA,2.45,202122
70,FR POLYNESIA,8.25,202122
71,FRANCE,"43,053.26",202122
72,GABON,"7,957.44",202122
73,GAMBIA,324.04,202122
74,GEORGIA,"1,474.75",202122
75,GERMANY,"1,11,547.52",202122
76,GHANA,"11,155.16",202122
77,GIBRALTAR,1.82,202122
78,GREECE,"2,236.72",202122
79,GREENLAND,0.00,202122
80,GRENADA,5.51,202122
81,GUADELOUPE,5.55,202122
82,GUAM,0.85,202122
83,GUATEMALA,156.89,202122
84,GUINEA,"26,992.86",202122
85,GUINEA BISSAU,"1,300.51",202122
86,GUYANA,"1,161.29",202122
87,HAITI,162.76,202122
88,HONDURAS,157.38,202122
89,HONG KONG,"1,42,400.80",202122
90,HUNGARY,"2,187.11",202122
91,ICELAND,42.41,202122
92,INDONESIA,"1,32,049.14",202122
93,INSTALLATIONS IN INTERNATIONAL WATERS,0.0000,202122
94,IRAN,"3,463.35",202122
95,IRAQ,"2,38,418.04",202122
96,IRELAND,"8,467.93",202122
97,ISRAEL,"22,974.53",202122
98,ITALY,"37,630.04",202122
99,JAMAICA,13.42,202122
100,JAPAN,"1,07,297.40",202122
101,JORDAN,"13,627.85",202122
102,KAZAKHSTAN,"2,417.56",202122
103,KENYA,"1,082.60",202122
104,KIRIBATI REP,0.0000,202122
105,KOREA DP RP,39.00,202122
106,KOREA RP,"1,30,299.35",202122
107,KUWAIT,"82,114.71",202122
108,KYRGHYZSTAN,13.42,202122
109,LAO PD RP,5.99,202122
110,LATVIA,"1,008.06",202122
111,LEBANON,242.13,202122
112,LESOTHO,0.00,202122
113,LIBERIA,158.31,202122
114,LIBYA,"2,661.18",202122
115,LIECHTENSTEIN,6.22,202122
116,LITHUANIA,"1,492.88",202122
117,LUXEMBOURG,503.07,202122
118,MACAO,149.54,202122
119,MACEDONIA,8.88,202122
120,MADAGASCAR,"1,076.57",202122
121,MALAWI,802.49,202122
122,MALAYSIA,"92,630.65",202122
123,MALDIVES,516.52,202122
124,MALI,170.73,202122
125,MALTA,170.15,202122
126,MARSHALL ISLAND,8.92,202122
127,MARTINIQUE,3.58,202122
128,MAURITANIA,89.81,202122
129,MAURITIUS,535.94,202122
130,MAYOTTE,8.58,202122
131,MEXICO,"31,658.19",202122
132,MOLDOVA,0.67,202122
133,MONACO,2.74,202122
134,MONGOLIA,4.07,202122
135,MONTENEGRO,2.58,202122
136,MOROCCO,"16,761.02",202122
137,MOZAMBIQUE,"14,048.87",202122
138,MYANMAR,"7,485.30",202122
139,N. MARIANA IS.,0.40,202122
140,NAMIBIA,339.82,202122
141,NAURU RP,173.75,202122
142,NEPAL,"10,208.12",202122
