S.No.,country,imp_inr_cr,year
143,NETHERLAND,"33,385.95",202122
144,NETHERLANDANTIL,119.94,202122
145,NEW CALEDONIA,61.01,202122
146,NEW ZEALAND,"2,790.08",202122
147,NICARAGUA,70.86,202122
148,NIGER,120.56,202122
149,NIGERIA,"76,825.30",202122
150,NORFOLK IS,2.60,202122
151,NORWAY,"15,586.25",202122
152,OMAN,"51,128.73",202122
153,PAKISTAN IR,18.91,202122
154,PALAU,0.00,202122
155,PANAMA REPUBLIC,"2,160.99",202122
156,PAPUA N GNA,"2,667.66",202122
157,PARAGUAY,121.51,202122
158,PERU,"20,166.33",202122
159,PHILIPPINES,"5,432.74",202122
160,PITCAIRN IS.,0.00,202122
161,POLAND,"8,396.31",202122
162,PORTUGAL,"1,225.60",202122
163,PUERTO RICO,410.25,202122
164,QATAR,"98,459.80",202122
165,REUNION,206.37,202122
166,ROMANIA,"1,961.00",202122
167,RUSSIA,"73,654.91",202122
168,RWANDA,56.16,202122
169,SAMOA,2.86,202122
170,SAN MARINO,0.55,202122
171,SAO TOME,0.00,202122
172,SAUDI ARAB,"2,54,677.67",202122
173,SENEGAL,"5,193.05",202122
174,SERBIA,82.45,202122
175,SEYCHELLES,29.21,202122
176,SIERRA LEONE,126.26,202122
177,SINGAPORE,"1,41,573.62",202122
178,SLOVAK REP,758.94,202122
179,SLOVENIA,"2,260.20",202122
180,SOLOMON IS,193.79,202122
181,SOMALIA,134.81,202122
182,SOUTH AFRICA,"81,823.45",202122
183,SOUTH SUDAN,9.18,202122
184,SPAIN,"15,288.07",202122
185,SRI LANKA DSR,"7,529.70",202122
186,ST HELENA,0.05,202122
187,ST KITT N A,22.54,202122
188,ST LUCIA,1.05,202122
189,ST VINCENT,0.02,202122
190,STATE OF PALEST,2.23,202122
191,SUDAN,960.43,202122
192,SURINAME,238.36,202122
193,SWAZILAND,"1,765.60",202122
194,SWEDEN,"10,809.56",202122
195,SWITZERLAND,"1,74,295.07",202122
196,SYRIA,116.25,202122
197,TAIWAN,"46,514.67",202122
198,TAJIKISTAN,79.75,202122
199,TANZANIA REP,"17,010.78",202122
200,THAILAND,"69,622.19",202122
201,TIMOR LESTE,0.01,202122
202,TOGO,"2,817.30",202122
203,TOKELAU IS,3.10,202122
204,TONGA,0.00,202122
205,TRINIDAD,832.43,202122
206,TUNISIA,"2,219.56",202122
207,TURKEY,"14,881.12",202122
208,TURKMENISTAN,75.79,202122
209,TURKS C IS,0.04,202122
210,U ARAB EMTS,"3,34,469.80",202122
211,U K,"52,288.41",202122
212,U S A,"3,23,033.01",202122
213,UGANDA,"1,064.83",202122
214,UKRAINE,"21,716.93",202122
215,UNSPECIFIED,341.87,202122
216,URUGUAY,"1,204.44",202122
217,US MINOR OUTLYING ISLANDS,0.94,202122
218,UZBEKISTAN,534.10,202122
219,VANUATU REP,0.00,202122
220,VATICAN CITY,0.00,202122
221,VENEZUELA,669.24,202122
222,VIETNAM SOC REP,"55,532.21",202122
223,VIRGIN IS US,3.24,202122
224,WALLIS F IS,0.00,202122
225,YEMEN REPUBLC,"1,708.72",202122
226,ZAMBIA,878.49,202122
227,ZIMBABWE,58.23,202122
