S.No.,country,imp_inr_cr,year
177,SAUDI ARAB,"1,99,394.90",201819
178,SENEGAL,"4,525.03",201819
179,SERBIA,150.93,201819
180,SEYCHELLES,36.70,201819
181,SIERRA LEONE,81.97,201819
182,SINGAPORE,"1,13,918.75",201819
183,SLOVAK REP,401.77,201819
184,SLOVENIA,"1,744.09",201819
185,SOLOMON IS,412.60,201819
186,SOMALIA,129.53,201819
187,SOUTH AFRICA,"45,521.92",201819
188,SOUTH SUDAN,625.94,201819
189,SPAIN,"11,727.89",201819
190,SRI LANKA DSR,"10,374.23",201819
191,ST HELENA,0.53,201819
192,ST KITT N A,0.01,201819
193,ST LUCIA,3.94,201819
194,ST VINCENT,0.0000,201819
195,STATE OF PALEST,0.0002,201819
196,SUDAN,"5,194.69",201819
197,SURINAME,623.05,201819
198,SWAZILAND,66.71,201819
199,SWEDEN,"9,278.93",201819
200,SWITZERLAND,"1,26,171.59",201819
201,SYRIA,98.98,201819
202,TAIWAN,"32,000.62",201819
203,TAJIKISTAN,30.00,201819
204,TANZANIA REP,"6,281.41",201819
205,THAILAND,"51,979.65",201819
206,TIMOR LESTE,0.00,201819
207,TOGO,"2,126.07",201819
208,TOKELAU IS,0.12,201819
209,TONGA,0.0000,201819
210,TRINIDAD,"1,349.50",201819
211,TUNISIA,959.44,201819
212,TURKEY,"16,670.19",201819
213,TURKMENISTAN,143.37,201819
214,TURKS C IS,0.00,201819
215,TUVALU,0.00,201819
216,U ARAB EMTS,"2,08,550.77",201819
217,U K,"52,744.21",201819
218,U S A,"2,48,553.77",201819
219,UGANDA,161.75,201819
220,UKRAINE,"16,279.61",201819
221,UNSPECIFIED,626.36,201819
222,URUGUAY,301.37,201819
223,US MINOR OUTLYING ISLANDS,0.56,201819
224,UZBEKISTAN,885.12,201819
225,VANUATU REP,0.00,201819
226,VATICAN CITY,0.0000,201819
227,VENEZUELA,"50,809.46",201819
228,VIETNAM SOC REP,"50,285.80",201819
229,VIRGIN IS US,5.38,201819
230,WALLIS F IS,0.00,201819
231,YEMEN REPUBLC,81.00,201819
232,ZAMBIA,"3,567.19",201819
233,ZIMBABWE,54.95,201819
