S.No.,country,imp_inr_cr,year
1,AFGHANISTAN,"2,796.62",201718
2,ALBANIA,250.76,201718
3,ALGERIA,"8,132.19",201718
4,AMERI SAMOA,1.95,201718
5,ANDORRA,0.00,201718
6,ANGOLA,"27,863.28",201718
7,ANGUILLA,1.18,201718
8,ANTARTICA,0.32,201718
9,ANTIGUA,0.15,201718
10,ARGENTINA,"14,365.07",201718
11,ARMENIA,4.18,201718
12,ARUBA,2.58,201718
13,AUSTRALIA,"90,197.22",201718
14,AUSTRIA,"6,274.37",201718
15,AZERBAIJAN,"3,827.52",201718
16,BAHAMAS,260.91,201718
17,BAHARAIN IS,"2,782.92",201718
18,BANGLADESH PR,"4,419.98",201718
19,BARBADOS,1.29,201718
20,BELARUS,"1,337.82",201718
21,BELGIUM,"38,645.69",201718
22,BELIZE,8.77,201718
23,BENIN,"1,436.89",201718
24,BERMUDA,0.03,201718
25,BHUTAN,"2,435.81",201718
26,BOLIVIA,"4,304.03",201718
27,BOSNIA-HRZGOVIN,56.38,201718
28,BOTSWANA,"10,560.69",201718
29,BR VIRGN IS,5.65,201718
30,BRAZIL,"35,428.54",201718
31,BRUNEI,"2,804.59",201718
32,BULGARIA,915.73,201718
33,BURKINA FASO,"4,081.39",201718
34,BURUNDI,106.47,201718
35,C AFRI REP,63.68,201718
36,CAMBODIA,359.71,201718
37,CAMEROON,"1,373.31",201718
38,CANADA,"30,479.07",201718
39,CAPE VERDE IS,18.16,201718
40,CAYMAN IS,41.66,201718
41,CHAD,961.53,201718
42,CHILE,"13,477.63",201718
43,CHINA P RP,"4,92,236.17",201718
44,CHRISTMAS IS.,4.29,201718
45,COCOS IS,0.03,201718
46,COLOMBIA,"3,823.22",201718
47,COMOROS,240.15,201718
48,CONGO D. REP.,"1,452.87",201718
49,CONGO P REP,"1,283.21",201718
50,COOK IS,0.05,201718
51,COSTA RICA,433.62,201718
52,COTE D' IVOIRE,"2,846.86",201718
53,CROATIA,206.48,201718
54,CUBA,13.27,201718
55,CYPRUS,86.74,201718
56,CZECH REPUBLIC,"4,315.38",201718
57,DENMARK,"3,640.68",201718
58,DJIBOUTI,35.09,201718
59,DOMINIC REP,"4,172.33",201718
60,DOMINICA,1.77,201718
61,ECUADOR,"1,250.30",201718
62,EGYPT A RP,"8,332.69",201718
63,EL SALVADOR,58.23,201718
64,EQUTL GUINEA,"4,868.61",201718
65,ERITREA,12.64,201718
66,ESTONIA,390.30,201718
67,ETHIOPIA,306.09,201718
68,FAROE IS.,0.03,201718
69,FIJI IS,3.15,201718
70,FINLAND,"9,022.66",201718
71,FR GUIANA,5.51,201718
72,FR POLYNESIA,0.47,201718
73,FRANCE,"42,032.33",201718
74,GABON,"2,547.12",201718
75,GAMBIA,377.95,201718
76,GEORGIA,174.15,201718
