S.No.,country,imp_inr_cr,year
77,GERMANY,"85,700.20",201718
78,GHANA,"17,484.30",201718
79,GIBRALTAR,0.04,201718
80,GREECE,618.88,201718
81,GREENLAND,0.07,201718
82,GRENADA,1.72,201718
83,GUADELOUPE,0.04,201718
84,GUAM,0.00,201718
85,GUATEMALA,102.93,201718
86,GUERNSEY,1.50,201718
87,GUINEA,"3,317.43",201718
88,GUINEA BISSAU,"1,651.29",201718
89,GUYANA,42.53,201718
90,HAITI,53.21,201718
91,HONDURAS,85.88,201718
92,HONG KONG,"68,777.02",201718
93,HUNGARY,"1,745.82",201718
94,ICELAND,47.78,201718
95,INDONESIA,"1,05,961.12",201718
96,IRAN,"71,620.10",201718
97,IRAQ,"1,13,452.67",201718
98,IRELAND,"5,125.52",201718
99,ISRAEL,"13,321.20",201718
100,ITALY,"30,336.79",201718
101,JAMAICA,28.07,201718
102,JAPAN,"70,745.25",201718
103,JERSEY,0.00,201718
104,JORDAN,"6,348.75",201718
105,KAZAKHSTAN,"5,857.10",201718
106,KENYA,467.81,201718
107,KIRIBATI REP,0.00,201718
108,KOREA DP RP,161.56,201718
109,KOREA RP,"1,05,422.84",201718
110,KUWAIT,"46,220.90",201718
111,KYRGHYZSTAN,199.34,201718
112,LAO PD RP,"1,088.01",201718
113,LATVIA,339.10,201718
114,LEBANON,248.11,201718
115,LESOTHO,578.36,201718
116,LIBERIA,236.63,201718
117,LIBYA,652.70,201718
118,LIECHTENSTEIN,10.30,201718
119,LITHUANIA,"1,222.90",201718
120,LUXEMBOURG,342.85,201718
121,MACAO,53.50,201718
122,MACEDONIA,300.65,201718
123,MADAGASCAR,"1,079.06",201718
124,MALAWI,106.09,201718
125,MALAYSIA,"58,081.29",201718
126,MALDIVES,36.55,201718
127,MALI,735.66,201718
128,MALTA,102.93,201718
129,MARSHALL ISLAND,0.71,201718
130,MARTINIQUE,0.00,201718
131,MAURITANIA,35.10,201718
132,MAURITIUS,133.56,201718
133,MAYOTTE,0.01,201718
134,MEXICO,"25,329.59",201718
135,MOLDOVA,10.11,201718
136,MONACO,6.88,201718
137,MONGOLIA,11.10,201718
138,MONTENEGRO,0.06,201718
139,MONTSERRAT,0.00,201718
140,MOROCCO,"5,025.33",201718
141,MOZAMBIQUE,"6,008.65",201718
142,MYANMAR,"4,120.39",201718
143,N. MARIANA IS.,1.12,201718
144,NAMIBIA,401.34,201718
145,NAURU RP,0.08,201718
146,NEPAL,"2,824.57",201718
147,NETHERLAND,"16,198.91",201718
148,NETHERLANDANTIL,52.69,201718
149,NEW CALEDONIA,62.21,201718
150,NEW ZEALAND,"4,151.77",201718
151,NICARAGUA,26.82,201718
152,NIGER,130.44,201718
153,NIGERIA,"61,293.31",201718
154,NIUE IS,0.04,201718
155,NORFOLK IS,3.01,201718
156,NORWAY,"5,425.21",201718
157,OMAN,"27,500.04",201718
158,PAKISTAN IR,"3,150.30",201718
159,PALAU,5.04,201718
160,PANAMA REPUBLIC,279.19,201718
161,PAPUA N GNA,"1,266.16",201718
162,PARAGUAY,"1,077.41",201718
163,PERU,"15,331.52",201718
164,PHILIPPINES,"4,927.58",201718
165,PITCAIRN IS.,1.45,201718
166,POLAND,"4,943.50",201718
167,PORTUGAL,"1,225.13",201718
168,PUERTO RICO,482.63,201718
169,QATAR,"54,210.54",201718
170,REUNION,116.33,201718
171,ROMANIA,"2,655.78",201718
172,RUSSIA,"55,287.09",201718
173,RWANDA,34.45,201718
174,SAMOA,1.65,201718
175,SAN MARINO,4.16,201718
176,SAO TOME,0.00,201718
177,SAUDI ARAB,"1,42,240.74",201718
178,SENEGAL,"3,648.78",201718
179,SERBIA,155.30,201718
180,SEYCHELLES,8.83,201718
181,SIERRA LEONE,155.72,201718
182,SINGAPORE,"48,132.82",201718
183,SLOVAK REP,614.04,201718
184,SLOVENIA,722.39,201718
185,SOLOMON IS,437.02,201718
186,SOMALIA,22.89,201718
187,SOUTH AFRICA,"44,055.74",201718
188,SOUTH SUDAN,454.13,201718
189,SPAIN,"10,720.53",201718
190,SRI LANKA DSR,"4,976.50",201718
191,ST HELENA,0.19,201718
192,ST KITT N A,0.00,201718
193,ST LUCIA,2.05,201718
194,ST VINCENT,0.00,201718
195,STATE OF PALEST,0.00,201718
196,SUDAN,"2,917.30",201718
197,SURINAME,598.57,201718
198,SWAZILAND,57.58,201718
199,SWEDEN,"9,440.37",201718
200,SWITZERLAND,"1,22,017.81",201718
201,SYRIA,165.31,201718
202,TAIWAN,"25,302.50",201718
203,TAJIKISTAN,324.09,201718
204,TANZANIA REP,"6,634.43",201718
205,THAILAND,"45,987.99",201718
206,TIMOR LESTE,0.61,201718
207,TOGO,"1,055.25",201718
208,TOKELAU IS,0.35,201718
209,TONGA,0.00,201718
210,TRINIDAD,275.76,201718
211,TUNISIA,902.63,201718
212,TURKEY,"13,785.15",201718
213,TURKMENISTAN,169.02,201718
214,TURKS C IS,0.16,201718
215,TUVALU,0.01,201718
216,U ARAB EMTS,"1,40,095.89",201718
217,U K,"30,989.47",201718
218,U S A,"1,71,564.48",201718
219,UGANDA,362.37,201718
220,UKRAINE,"15,194.49",201718
221,UNSPECIFIED,"59,301.08",201718
222,URUGUAY,160.97,201718
223,US MINOR OUTLYING ISLANDS,4.80,201718
224,UZBEKISTAN,658.00,201718
225,VANUATU REP,0.00,201718
226,VATICAN CITY,0.00,201718
227,VENEZUELA,"37,796.68",201718
228,VIETNAM SOC REP,"32,356.71",201718
229,VIRGIN IS US,1.83,201718
230,WALLIS F IS,0.07,201718
231,YEMEN REPUBLC,979.69,201718
232,ZAMBIA,"7,055.80",201718
233,ZIMBABWE,401.01,201718
