S.No.,country,imp_inr_cr,year
1,AFGHANISTAN,"3,753.48",202021
2,ALBANIA,60.93,202021
3,ALGERIA,"3,025.08",202021
4,AMERI SAMOA,7.26,202021
5,ANDORRA,0.05,202021
6,ANGOLA,"13,908.86",202021
7,ANGUILLA,1.32,202021
8,ANTARTICA,4.92,202021
9,ANTIGUA,1.05,202021
10,ARGENTINA,"19,463.38",202021
11,ARMENIA,708.14,202021
12,ARUBA,5.98,202021
13,AUSTRALIA,"60,970.79",202021
14,AUSTRIA,"4,609.79",202021
15,AZERBAIJAN,"1,683.29",202021
16,BAHAMAS,263.48,202021
17,BAHARAIN IS,"4,041.04",202021
18,BANGLADESH PR,"8,053.48",202021
19,BARBADOS,4.48,202021
20,BELARUS,"2,131.46",202021
21,BELGIUM,"51,246.77",202021
22,BELIZE,3.72,202021
23,BENIN,"2,439.90",202021
24,BERMUDA,0.29,202021
25,BHUTAN,"3,214.23",202021
26,BOLIVIA,"8,537.18",202021
27,BOSNIA-HRZGOVIN,14.25,202021
28,BOTSWANA,"3,394.01",202021
29,BR VIRGN IS,81.74,202021
30,BRAZIL,"22,344.86",202021
31,BRUNEI,"2,427.40",202021
32,BULGARIA,928.51,202021
33,BURKINA FASO,"2,650.73",202021
34,BURUNDI,0.51,202021
35,C AFRI REP,1.69,202021
36,CAMBODIA,291.39,202021
37,CAMEROON,"1,486.00",202021
38,CANADA,"19,959.31",202021
39,CAPE VERDE IS,15.07,202021
40,CAYMAN IS,632.05,202021
41,CHAD,367.43,202021
42,CHILE,"4,979.17",202021
43,CHINA P RP,"4,82,495.80",202021
44,CHRISTMAS IS.,0.01,202021
45,COLOMBIA,"10,390.00",202021
46,COMOROS,92.43,202021
47,CONGO D. REP.,75.81,202021
48,CONGO P REP,"1,829.70",202021
49,COOK IS,0.0000,202021
50,COSTA RICA,350.45,202021
51,COTE D' IVOIRE,"2,352.15",202021
52,CROATIA,315.49,202021
53,CUBA,514.45,202021
54,CYPRUS,177.78,202021
55,CZECH REPUBLIC,"2,906.22",202021
56,DENMARK,"4,365.71",202021
57,DJIBOUTI,149.01,202021
58,DOMINIC REP,"1,880.89",202021
59,DOMINICA,1.84,202021
60,ECUADOR,"2,479.32",202021
61,EGYPT A RP,"14,019.48",202021
62,EL SALVADOR,28.40,202021
63,EQUTL GUINEA,"2,113.94",202021
64,ERITREA,0.01,202021
65,ESTONIA,446.79,202021
66,ETHIOPIA,242.10,202021
67,FALKLAND IS,0.00,202021
68,FIJI IS,9.84,202021
69,FINLAND,"5,278.10",202021
70,FR GUIANA,9.63,202021
71,FR POLYNESIA,0.54,202021
72,FRANCE,"32,160.77",202021
73,GABON,"2,996.20",202021
74,GAMBIA,285.16,202021
75,GEORGIA,638.39,202021
76,GERMANY,"1,01,104.82",202021
77,GHANA,"10,172.66",202021
78,GIBRALTAR,3.35,202021
79,GREECE,"1,060.04",202021
80,GREENLAND,0.0000,202021
81,GRENADA,3.38,202021
82,GUADELOUPE,5.13,202021
83,GUAM,0.23,202021
84,GUATEMALA,154.20,202021
85,GUINEA,"11,999.14",202021
86,GUINEA BISSAU,937.92,202021
87,GUYANA,83.98,202021
88,HAITI,99.74,202021
89,HONDURAS,92.93,202021
90,HONG KONG,"1,12,218.27",202021
91,HUNGARY,"1,620.11",202021
92,ICELAND,46.13,202021
93,INDONESIA,"92,325.28",202021
94,IRAN,"2,447.97",202021
95,IRAQ,"1,05,655.26",202021
96,IRELAND,"3,068.99",202021
97,ISRAEL,"14,481.58",202021
98,ITALY,"28,591.66",202021
99,JAMAICA,16.45,202021
100,JAPAN,"80,819.15",202021
101,JERSEY,0.00,202021
102,JORDAN,"7,896.38",202021
103,KAZAKHSTAN,"5,993.50",202021
104,KENYA,961.45,202021
105,KOREA DP RP,10.43,202021
106,KOREA RP,"94,476.22",202021
107,KUWAIT,"38,524.94",202021
108,KYRGHYZSTAN,37.98,202021
109,LAO PD RP,12.56,202021
110,LATVIA,362.96,202021
111,LEBANON,206.60,202021
112,LESOTHO,1.26,202021
113,LIBERIA,51.47,202021
114,LIBYA,514.40,202021
115,LIECHTENSTEIN,2.48,202021
116,LITHUANIA,"2,381.99",202021
117,LUXEMBOURG,225.86,202021
118,MACAO,180.38,202021
119,MACEDONIA,43.49,202021
120,MADAGASCAR,593.74,202021
121,MALAWI,52.11,202021
122,MALAYSIA,"61,791.22",202021
123,MALDIVES,180.63,202021
124,MALI,104.60,202021
125,MALTA,175.05,202021
126,MARSHALL ISLAND,12.32,202021
127,MARTINIQUE,6.08,202021
128,MAURITANIA,40.62,202021
129,MAURITIUS,314.93,202021
130,MAYOTTE,2.37,202021
131,MEXICO,"21,094.71",202021
132,MOLDOVA,7.34,202021
133,MONACO,0.05,202021
134,MONGOLIA,3.16,202021
135,MONTENEGRO,3.00,202021
136,MOROCCO,"10,664.41",202021
137,MOZAMBIQUE,"4,680.85",202021
138,MYANMAR,"3,915.93",202021
139,N. MARIANA IS.,2.19,202021
140,NAMIBIA,223.64,202021
141,NAURU RP,0.40,202021
142,NEPAL,"4,975.37",202021
143,NETHERLAND,"24,543.57",202021
144,NETHERLANDANTIL,30.16,202021
145,NEW CALEDONIA,13.40,202021
146,NEW ZEALAND,"2,832.04",202021
147,NICARAGUA,45.88,202021
148,NIGER,30.87,202021
149,NIGERIA,"41,994.60",202021
150,NORFOLK IS,1.80,202021
151,NORWAY,"4,965.48",202021
152,OMAN,"22,785.18",202021
153,PAKISTAN IR,17.69,202021
154,PALAU,0.01,202021
155,PANAMA REPUBLIC,245.97,202021
156,PAPUA N GNA,928.41,202021
157,PARAGUAY,115.70,202021
158,PERU,"11,217.06",202021
159,PHILIPPINES,"4,236.91",202021
160,PITCAIRN IS.,0.06,202021
161,POLAND,"5,221.90",202021
162,PORTUGAL,843.77,202021
163,PUERTO RICO,216.13,202021
164,QATAR,"58,662.66",202021
165,REUNION,136.20,202021
166,ROMANIA,"1,433.24",202021
167,RUSSIA,"40,632.41",202021
168,RWANDA,49.33,202021
169,SAMOA,3.37,202021
170,SAN MARINO,0.61,202021
171,SAO TOME,0.0000,202021
172,SAUDI ARAB,"1,19,758.62",202021
173,SENEGAL,"2,975.40",202021
174,SERBIA,54.25,202021
175,SEYCHELLES,27.04,202021
176,SIERRA LEONE,64.78,202021
177,SINGAPORE,"98,219.58",202021
178,SLOVAK REP,263.37,202021
179,SLOVENIA,"2,014.10",202021
180,SOLOMON IS,249.23,202021
181,SOMALIA,42.38,202021
182,SOUTH AFRICA,"55,766.27",202021
183,SOUTH SUDAN,11.85,202021
184,SPAIN,"11,190.18",202021
185,SRI LANKA DSR,"4,752.14",202021
186,ST HELENA,0.08,202021
187,ST KITT N A,0.0000,202021
188,ST LUCIA,2.90,202021
189,ST VINCENT,0.0030,202021
190,STATE OF PALEST,1.09,202021
191,SUDAN,"2,711.55",202021
192,SURINAME,251.94,202021
193,SWAZILAND,372.42,202021
194,SWEDEN,"7,438.44",202021
195,SWITZERLAND,"1,33,867.52",202021
196,SYRIA,113.37,202021
197,TAIWAN,"29,838.54",202021
198,TAJIKISTAN,7.82,202021
199,TANZANIA REP,"6,888.16",202021
200,THAILAND,"42,002.23",202021
201,TIMOR LESTE,0.0000,202021
202,TOGO,"2,227.11",202021
203,TOKELAU IS,0.14,202021
204,TONGA,0.0000,202021
205,TRINIDAD,"1,407.58",202021
206,TUNISIA,915.66,202021
207,TURKEY,"10,879.03",202021
208,TURKMENISTAN,2.22,202021
209,TURKS C IS,0.36,202021
210,U ARAB EMTS,"1,96,350.54",202021
211,U K,"36,611.48",202021
212,U S A,"2,13,724.71",202021
213,UGANDA,286.76,202021
214,UKRAINE,"15,864.98",202021
215,UNSPECIFIED,418.23,202021
216,URUGUAY,"1,210.53",202021
217,US MINOR OUTLYING ISLANDS,2.13,202021
218,UZBEKISTAN,110.74,202021
219,VANUATU REP,0.12,202021
220,VATICAN CITY,0.15,202021
221,VENEZUELA,"5,294.93",202021
222,VIETNAM SOC REP,"45,253.75",202021
223,VIRGIN IS US,0.63,202021
224,WALLIS F IS,0.0000,202021
225,YEMEN REPUBLC,171.61,202021
226,ZAMBIA,944.49,202021
227,ZIMBABWE,41.94,202021
