S.No.,country,imp_inr_cr,year
136,MONTENEGRO,15.31,202425
137,MOROCCO,"13,428.53",202425
138,MOZAMBIQUE,"17,700.06",202425
139,MYANMAR,"12,943.61",202425
140,N. MARIANA IS.,0.00,202425
141,NAMIBIA,"2,041.21",202425
142,NAURU RP,0.55,202425
143,NEPAL,"10,233.28",202425
144,NETHERLAND,"42,430.92",202425
145,NETHERLANDANTIL,31.77,202425
146,NEW CALEDONIA,59.29,202425
147,NEW ZEALAND,"4,965.20",202425
148,NICARAGUA,201.89,202425
149,NIGER,274.65,202425
150,NIGERIA,"35,417.39",202425
151,NORFOLK IS,2.89,202425
152,NORWAY,"5,353.86",202425
153,OMAN,"55,398.37",202425
154,PAKISTAN IR,3.89,202425
155,PALAU,0.00,202425
156,PANAMA REPUBLIC,"1,417.24",202425
157,PAPUA N GNA,"3,065.84",202425
158,PARAGUAY,282.80,202425
159,PERU,"42,088.34",202425
160,PHILIPPINES,"9,983.95",202425
161,PITCAIRN IS.,0.0000,202425
162,POLAND,"10,715.30",202425
163,PORTUGAL,"1,746.76",202425
164,PUERTO RICO,"2,262.40",202425
165,QATAR,"1,05,472.96",202425
166,REUNION,243.70,202425
167,ROMANIA,"3,459.21",202425
168,RUSSIA,"5,39,195.42",202425
169,RWANDA,115.58,202425
170,SAMOA,31.50,202425
171,SAN MARINO,0.96,202425
172,SAO TOME,0.00,202425
173,SAUDI ARAB,"2,54,776.66",202425
174,SENEGAL,"6,244.95",202425
175,SERBIA,208.05,202425
176,SEYCHELLES,"1,300.74",202425
177,SIERRA LEONE,195.16,202425
178,SINGAPORE,"1,80,091.13",202425
179,SINT MAARTEN (DUTCH PART),0.00,202425
180,SLOVAK REP,628.01,202425
181,SLOVENIA,"2,218.97",202425
182,SOLOMON IS,115.31,202425
183,SOMALIA,297.65,202425
184,SOUTH AFRICA,"89,020.90",202425
185,SOUTH SUDAN,1.25,202425
186,SPAIN,"18,763.83",202425
187,SRI LANKA DSR,"11,040.58",202425
188,ST HELENA,0.14,202425
189,ST KITT N A,0.74,202425
190,ST LUCIA,13.48,202425
191,ST VINCENT,1.66,202425
192,STATE OF PALEST,0.35,202425
193,SUDAN,"3,591.88",202425
194,SURINAME,277.28,202425
195,SWAZILAND,287.95,202425
196,SWEDEN,"17,957.10",202425
197,SWITZERLAND,"1,83,469.48",202425
198,SYRIA,136.71,202425
199,TAIWAN,"84,477.08",202425
200,TAJIKISTAN,0.01,202425
201,TANZANIA REP,"32,585.00",202425
202,THAILAND,"1,21,114.06",202425
203,TIMOR LESTE,0.16,202425
204,TOGO,"7,803.12",202425
205,TOKELAU IS,0.28,202425
206,TONGA,0.00,202425
207,TRINIDAD,"1,857.77",202425
208,TUNISIA,"1,216.04",202425
209,TURKEY,"25,247.82",202425
210,TURKMENISTAN,"1,384.36",202425
211,TURKS C IS,2.69,202425
212,U ARAB EMTS,"5,37,007.03",202425
213,U K,"72,881.98",202425
214,U S A,"3,86,241.03",202425
215,UGANDA,"1,928.79",202425
216,UKRAINE,"8,761.11",202425
217,UNSPECIFIED,"1,370.07",202425
218,URUGUAY,"1,288.03",202425
219,US MINOR OUTLYING ISLANDS,2.28,202425
220,UZBEKISTAN,124.13,202425
221,VANUATU REP,4.90,202425
222,VATICAN CITY,0.98,202425
223,VENEZUELA,"13,922.89",202425
224,VIETNAM SOC REP,"87,362.08",202425
225,VIRGIN IS US,2.03,202425
226,WALLIS F IS,0.00,202425
227,YEMEN REPUBLC,"1,307.29",202425
228,ZAMBIA,"1,411.87",202425
229,ZIMBABWE,151.62,202425
