S.No.,country,imp_inr_cr,year
1,500,0.00,202425
2,AFGHANISTAN,"5,845.51",202425
3,ALBANIA,57.75,202425
4,ALGERIA,"6,390.36",202425
5,AMERI SAMOA,0.12,202425
6,ANDORRA,0.58,202425
7,ANGOLA,"38,146.05",202425
8,ANGUILLA,1.06,202425
9,ANTARTICA,2.43,202425
10,ANTIGUA,6.59,202425
11,ARGENTINA,"31,595.57",202425
12,ARMENIA,433.12,202425
13,ARUBA,5.35,202425
14,AUSTRALIA,"1,31,237.47",202425
15,AUSTRIA,"8,030.59",202425
16,AZERBAIJAN,18.76,202425
17,BAHAMAS,51.38,202425
18,BAHARAIN IS,"7,140.61",202425
19,BANGLADESH PR,"16,959.57",202425
20,BARBADOS,13.52,202425
21,BELARUS,318.84,202425
22,BELGIUM,"55,732.44",202425
23,BELIZE,6.45,202425
24,BENIN,"1,102.19",202425
25,BERMUDA,0.0000,202425
26,BHUTAN,"4,353.58",202425
27,BOLIVIA,"3,107.90",202425
28,BOSNIA-HRZGOVIN,57.41,202425
29,BOTSWANA,"2,809.60",202425
30,BR VIRGN IS,32.23,202425
31,BRAZIL,"46,131.28",202425
32,BRUNEI,"1,080.34",202425
33,BULGARIA,"1,313.47",202425
34,BURKINA FASO,675.35,202425
35,BURUNDI,0.0002,202425
36,C AFRI REP,"1,145.03",202425
37,CAMBODIA,825.58,202425
38,CAMEROON,"2,832.95",202425
39,CANADA,"37,570.78",202425
40,CAPE VERDE IS,42.75,202425
41,CAYMAN IS,664.10,202425
42,CHAD,195.11,202425
43,CHILE,"21,994.50",202425
44,CHINA P RP,"9,59,744.24",202425
45,CHRISTMAS IS.,0.0000,202425
46,COCOS IS,0.0000,202425
47,COLOMBIA,"27,441.46",202425
48,COMOROS,116.90,202425
49,CONGO D. REP.,"3,731.26",202425
50,CONGO P REP,"3,182.35",202425
51,COSTA RICA,967.91,202425
52,COTE D' IVOIRE,"4,673.50",202425
53,CROATIA,649.50,202425
54,CUBA,26.99,202425
55,CYPRUS,426.95,202425
56,CZECH REPUBLIC,"6,150.47",202425
57,DENMARK,"6,692.92",202425
58,DJIBOUTI,157.26,202425
59,DOMINIC REP,"6,197.98",202425
60,DOMINICA,3.40,202425
61,ECUADOR,"2,965.45",202425
62,EGYPT A RP,"11,274.16",202425
63,EL SALVADOR,32.06,202425
64,EQUTL GUINEA,"3,730.35",202425
65,ESTONIA,970.33,202425
66,ETHIOPIA,621.02,202425
67,FIJI IS,13.09,202425
68,FINLAND,"7,081.85",202425
69,FR GUIANA,5.97,202425
70,FR POLYNESIA,2.51,202425
71,FRANCE,"61,256.96",202425
72,GABON,"2,664.49",202425
73,GAMBIA,378.82,202425
74,GEORGIA,629.57,202425
75,GERMANY,"1,60,602.80",202425
76,GHANA,"15,127.21",202425
77,GIBRALTAR,0.99,202425
78,GREECE,"3,208.96",202425
79,GRENADA,2.43,202425
80,GUADELOUPE,6.34,202425
81,GUAM,0.12,202425
82,GUATEMALA,245.09,202425
83,GUERNSEY,0.00,202425
84,GUINEA,"5,730.25",202425
85,GUINEA BISSAU,"1,525.60",202425
86,GUYANA,36.43,202425
87,HAITI,72.37,202425
88,HEARD MACDONALD,0.0000,202425
89,HONDURAS,297.84,202425
90,HONG KONG,"1,67,144.58",202425
91,HUNGARY,"4,026.69",202425
92,ICELAND,93.41,202425
93,INDONESIA,"1,92,367.54",202425
94,IRAN,"3,747.61",202425
95,IRAQ,"2,44,189.40",202425
96,IRELAND,"43,773.05",202425
97,ISRAEL,"13,654.21",202425
98,ITALY,"50,955.38",202425
99,JAMAICA,73.29,202425
100,JAPAN,"1,59,956.94",202425
101,JORDAN,"16,144.67",202425
102,KAZAKHSTAN,732.26,202425
103,KENYA,"2,694.11",202425
104,KIRIBATI REP,0.0000,202425
105,KOREA DP RP,31.29,202425
106,KOREA RP,"1,78,150.95",202425
107,KUWAIT,"70,222.49",202425
108,KYRGHYZSTAN,89.01,202425
109,LAO PD RP,97.84,202425
110,LATVIA,"2,011.15",202425
111,LEBANON,715.47,202425
112,LESOTHO,8.29,202425
113,LIBERIA,172.14,202425
114,LIBYA,"1,908.70",202425
115,LIECHTENSTEIN,15.37,202425
116,LITHUANIA,"1,393.17",202425
117,LUXEMBOURG,812.84,202425
118,MACAO,330.22,202425
119,MACEDONIA,16.84,202425
120,MADAGASCAR,"1,578.96",202425
121,MALAWI,641.88,202425
122,MALAYSIA,"1,06,012.58",202425
123,MALDIVES,"1,001.01",202425
124,MALI,696.33,202425
125,MALTA,202.57,202425
126,MARSHALL ISLAND,57.91,202425
127,MARTINIQUE,4.35,202425
128,MAURITANIA,191.37,202425
129,MAURITIUS,"1,789.49",202425
130,MAYOTTE,12.97,202425
131,MEXICO,"24,245.90",202425
132,MICRONESIA,0.00,202425
133,MOLDOVA,10.14,202425
134,MONACO,18.45,202425
135,MONGOLIA,0.94,202425
