S.No.,country,imp_inr_cr,year
1,AFGHANISTAN,"3,652.63",202223
2,ALBANIA,84.68,202223
3,ALGERIA,"12,130.39",202223
4,AMERI SAMOA,0.14,202223
5,ANDORRA,0.0000,202223
6,ANGOLA,"28,951.32",202223
7,ANGUILLA,0.22,202223
8,ANTARTICA,7.07,202223
9,ANTIGUA,4.20,202223
10,ARGENTINA,"31,432.72",202223
11,ARMENIA,579.00,202223
12,ARUBA,6.22,202223
13,AUSTRALIA,"1,52,002.82",202223
14,AUSTRIA,"6,740.77",202223
15,AZERBAIJAN,"3,896.35",202223
16,BAHAMAS,29.43,202223
17,BAHARAIN IS,"8,142.32",202223
18,BANGLADESH PR,"16,245.26",202223
19,BARBADOS,10.45,202223
20,BELARUS,531.63,202223
21,BELGIUM,"73,585.19",202223
22,BELIZE,8.50,202223
23,BENIN,"3,593.84",202223
24,BERMUDA,0.41,202223
25,BHUTAN,"4,309.89",202223
26,BOLIVIA,"20,365.45",202223
27,BOSNIA-HRZGOVIN,20.26,202223
28,BOTSWANA,"3,671.58",202223
29,BR VIRGN IS,86.30,202223
30,BRAZIL,"53,779.62",202223
31,BRUNEI,"2,458.28",202223
32,BULGARIA,"3,496.02",202223
33,BURKINA FASO,918.76,202223
34,BURUNDI,3.04,202223
35,C AFRI REP,21.19,202223
36,CAMBODIA,"1,182.43",202223
37,CAMEROON,"4,306.56",202223
38,CANADA,"33,496.61",202223
39,CAPE VERDE IS,35.50,202223
40,CAYMAN IS,0.01,202223
41,CHAD,49.29,202223
42,CHILE,"11,519.74",202223
43,CHINA P RP,"7,90,931.63",202223
44,CHRISTMAS IS.,0.00,202223
45,COLOMBIA,"21,097.61",202223
46,COMOROS,131.55,202223
47,CONGO D. REP.,"1,754.93",202223
48,CONGO P REP,"16,301.78",202223
49,COSTA RICA,488.17,202223
50,COTE D' IVOIRE,"5,301.63",202223
51,CROATIA,954.67,202223
52,CUBA,39.56,202223
53,CYPRUS,940.38,202223
54,CZECH REPUBLIC,"6,243.44",202223
55,DENMARK,"6,188.34",202223
56,DJIBOUTI,450.63,202223
57,DOMINIC REP,"2,910.81",202223
58,DOMINICA,4.86,202223
59,ECUADOR,"8,162.62",202223
60,EGYPT A RP,"15,668.34",202223
61,EL SALVADOR,18.51,202223
62,EQUTL GUINEA,"5,610.16",202223
63,ERITREA,0.02,202223
64,ESTONIA,"1,134.69",202223
65,ETHIOPIA,455.37,202223
66,FAROE IS.,0.0000,202223
67,FIJI IS,0.82,202223
68,FINLAND,"12,016.64",202223
69,FR GUIANA,14.28,202223
70,FR POLYNESIA,4.07,202223
71,FRANCE,"50,018.65",202223
72,GABON,"3,150.37",202223
73,GAMBIA,409.45,202223
74,GEORGIA,"1,349.77",202223
75,GERMANY,"1,33,531.36",202223
76,GHANA,"15,199.82",202223
77,GIBRALTAR,572.70,202223
78,GREECE,"9,490.94",202223
79,GREENLAND,0.0000,202223
80,GRENADA,11.52,202223
81,GUADELOUPE,2.56,202223
82,GUAM,1.39,202223
83,GUATEMALA,166.26,202223
84,GUERNSEY,0.0000,202223
85,GUINEA,"16,487.75",202223
86,GUINEA BISSAU,"1,377.00",202223
87,GUYANA,33.70,202223
88,HAITI,96.29,202223
89,HONDURAS,124.57,202223
90,HONG KONG,"1,46,586.43",202223
91,HUNGARY,"2,460.05",202223
92,ICELAND,39.40,202223
93,INDONESIA,"2,30,815.28",202223
94,INSTALLATIONS IN INTERNATIONAL WATERS,0.00,202223
95,IRAN,"5,407.15",202223
96,IRAQ,"2,75,202.15",202223
97,IRELAND,"29,402.72",202223
98,ISRAEL,"18,623.14",202223
99,ITALY,"44,923.19",202223
100,JAMAICA,39.97,202223
101,JAPAN,"1,32,614.78",202223
102,JORDAN,"18,329.66",202223
103,KAZAKHSTAN,"1,618.48",202223
104,KENYA,938.74,202223
105,KIRIBATI REP,0.00,202223
106,KOREA DP RP,20.23,202223
107,KOREA RP,"1,70,631.81",202223
108,KUWAIT,"98,458.03",202223
109,KYRGHYZSTAN,33.91,202223
110,LAO PD RP,604.53,202223
111,LATVIA,"1,999.99",202223
112,LEBANON,750.98,202223
113,LESOTHO,0.0000,202223
114,LIBERIA,215.36,202223
115,LIBYA,"5,901.74",202223
116,LIECHTENSTEIN,15.85,202223
117,LITHUANIA,921.01,202223
118,LUXEMBOURG,818.51,202223
119,MACAO,107.48,202223
120,MACEDONIA,11.13,202223
121,MADAGASCAR,"1,030.34",202223
122,MALAWI,346.43,202223
123,MALAYSIA,"1,02,185.23",202223
124,MALDIVES,"4,042.21",202223
125,MALI,158.75,202223
126,MALTA,402.44,202223
127,MARSHALL ISLAND,7.03,202223
128,MARTINIQUE,9.88,202223
129,MAURITANIA,"1,908.61",202223
130,MAURITIUS,735.89,202223
131,MAYOTTE,5.77,202223
132,MEXICO,"31,068.98",202223
133,MOLDOVA,32.35,202223
134,MONACO,8.20,202223
135,MONGOLIA,7.46,202223
136,MONTENEGRO,0.78,202223
137,MONTSERRAT,0.0000,202223
138,MOROCCO,"20,541.33",202223
139,MOZAMBIQUE,"20,296.93",202223
140,MYANMAR,"7,696.64",202223
141,N. MARIANA IS.,1.82,202223
142,NAMIBIA,306.52,202223
143,NAURU RP,0.21,202223
144,NEPAL,"6,756.60",202223
145,NETHERLAND,"47,877.24",202223
146,NETHERLANDANTIL,147.16,202223
147,NEW CALEDONIA,58.97,202223
148,NEW ZEALAND,"3,837.63",202223
149,NICARAGUA,86.21,202223
150,NIGER,971.13,202223
151,NIGERIA,"53,407.71",202223
152,NIUE IS,0.0000,202223
153,NORFOLK IS,1.69,202223
154,NORWAY,"7,529.18",202223
155,OMAN,"63,291.33",202223
156,PAKISTAN IR,157.77,202223
157,PANAMA REPUBLIC,"2,278.08",202223
158,PAPUA N GNA,"5,154.46",202223
159,PARAGUAY,159.40,202223
160,PERU,"17,956.39",202223
161,PHILIPPINES,"7,737.02",202223
162,PITCAIRN IS.,0.0000,202223
163,POLAND,"11,005.52",202223
164,PORTUGAL,"1,573.90",202223
165,PUERTO RICO,960.83,202223
166,QATAR,"1,35,017.80",202223
167,REUNION,231.55,202223
168,ROMANIA,"4,570.07",202223
169,RUSSIA,"3,74,003.31",202223
170,RWANDA,330.04,202223
171,SAMOA,129.42,202223
172,SAN MARINO,0.52,202223
173,SAO TOME,0.03,202223
174,SAUDI ARAB,"3,37,571.87",202223
175,SENEGAL,"10,908.04",202223
176,SERBIA,109.67,202223
177,SEYCHELLES,71.49,202223
178,SIERRA LEONE,399.56,202223
179,SINGAPORE,"1,89,828.25",202223
180,SLOVAK REP,569.06,202223
181,SLOVENIA,"2,398.30",202223
182,SOLOMON IS,267.13,202223
183,SOMALIA,143.80,202223
184,SOUTH AFRICA,"83,117.53",202223
185,SOUTH SUDAN,9.03,202223
186,SPAIN,"23,987.80",202223
187,SRI LANKA DSR,"8,659.73",202223
188,ST HELENA,0.27,202223
189,ST KITT N A,9.32,202223
190,ST LUCIA,0.90,202223
191,ST VINCENT,0.00,202223
192,STATE OF PALEST,3.41,202223
193,SUDAN,"1,765.39",202223
194,SURINAME,390.63,202223
195,SWAZILAND,39.03,202223
196,SWEDEN,"13,905.93",202223
197,SWITZERLAND,"1,26,757.50",202223
198,SYRIA,73.67,202223
199,TAIWAN,"66,479.36",202223
200,TAJIKISTAN,4.18,202223
201,TANZANIA REP,"20,384.01",202223
202,THAILAND,"89,748.07",202223
