S.No.,country,imp_inr_cr,year
203,TIMOR LESTE,0.01,202223
204,TOGO,"4,326.91",202223
205,TOKELAU IS,0.19,202223
206,TONGA,0.0000,202223
207,TRINIDAD,738.39,202223
208,TUNISIA,"3,413.43",202223
209,TURKEY,"33,797.78",202223
210,TURKMENISTAN,818.21,202223
211,TURKS C IS,0.29,202223
212,U ARAB EMTS,"4,27,405.64",202223
213,U K,"71,824.53",202223
214,U S A,"4,08,620.95",202223
215,UGANDA,"3,955.32",202223
216,UKRAINE,"5,316.04",202223
217,UNSPECIFIED,761.85,202223
218,URUGUAY,"1,590.98",202223
219,US MINOR OUTLYING ISLANDS,0.78,202223
220,UZBEKISTAN,384.87,202223
221,VATICAN CITY,0.0000,202223
222,VENEZUELA,"2,045.16",202223
223,VIETNAM SOC REP,"70,616.44",202223
224,VIRGIN IS US,8.11,202223
225,YEMEN REPUBLC,"1,291.64",202223
226,ZAMBIA,"1,480.88",202223
227,ZIMBABWE,75.24,202223
