S.No.,country,imp_inr_cr,year
1,500,0.0113,202324
2,AFGHANISTAN,"5,327.02",202324
3,ALBANIA,62.99,202324
4,ALGERIA,"7,349.98",202324
5,AMERI SAMOA,0.40,202324
6,ANDORRA,0.39,202324
7,ANGOLA,"28,959.19",202324
8,ANGUILLA,2.44,202324
9,ANTARTICA,4.19,202324
10,ANTIGUA,6.97,202324
11,ARGENTINA,"20,637.04",202324
12,ARMENIA,298.29,202324
13,ARUBA,9.72,202324
14,AUSTRALIA,"1,33,781.64",202324
15,AUSTRIA,"7,638.25",202324
16,AZERBAIJAN,6.08,202324
17,BAHAMAS,172.65,202324
18,BAHARAIN IS,"6,874.09",202324
19,BANGLADESH PR,"15,269.45",202324
20,BARBADOS,26.93,202324
21,BELARUS,126.11,202324
22,BELGIUM,"59,896.69",202324
23,BELIZE,154.62,202324
24,BENIN,"1,780.60",202324
25,BERMUDA,0.00,202324
26,BHUTAN,"2,807.49",202324
27,BOLIVIA,"8,994.14",202324
28,BOSNIA-HRZGOVIN,43.01,202324
29,BOTSWANA,"2,699.91",202324
30,BR VIRGN IS,"1,172.32",202324
31,BRAZIL,"51,432.62",202324
32,BRUNEI,"1,817.10",202324
33,BULGARIA,"1,593.97",202324
34,BURKINA FASO,"1,683.92",202324
35,BURUNDI,0.00,202324
36,C AFRI REP,1.95,202324
37,CAMBODIA,"1,810.10",202324
38,CAMEROON,"6,535.96",202324
39,CANADA,"37,716.44",202324
40,CAPE VERDE IS,38.43,202324
41,CAYMAN IS,0.00,202324
42,CHAD,30.20,202324
43,CHILE,"12,535.06",202324
44,CHINA P RP,"8,42,386.06",202324
45,COLOMBIA,"25,427.13",202324
46,COMOROS,154.52,202324
47,CONGO D. REP.,"1,724.28",202324
48,CONGO P REP,"1,018.09",202324
49,COSTA RICA,976.02,202324
50,COTE D' IVOIRE,"3,179.96",202324
51,CROATIA,480.96,202324
52,CUBA,18.15,202324
53,CYPRUS,341.64,202324
54,CZECH REPUBLIC,"6,092.49",202324
55,DENMARK,"7,591.01",202324
56,DJIBOUTI,184.01,202324
57,DOMINIC REP,"4,726.25",202324
58,DOMINICA,4.14,202324
59,ECUADOR,"6,584.74",202324
60,EGYPT A RP,"9,571.16",202324
61,EL SALVADOR,21.53,202324
62,EQUTL GUINEA,"2,653.66",202324
63,ERITREA,0.00,202324
64,ESTONIA,"1,144.84",202324
65,ETHIOPIA,678.28,202324
66,FAROE IS.,0.00,202324
67,FIJI IS,9.85,202324
68,FINLAND,"7,551.27",202324
69,FR GUIANA,5.23,202324
70,FR POLYNESIA,2.16,202324
71,FRANCE,"66,039.07",202324
72,GABON,"2,630.60",202324
73,GAMBIA,342.61,202324
74,GEORGIA,835.91,202324
75,GERMANY,"1,37,749.27",202324
76,GHANA,"11,717.35",202324
77,GIBRALTAR,2.50,202324
78,GREECE,"7,298.90",202324
79,GREENLAND,0.00,202324
80,GRENADA,15.84,202324
81,GUADELOUPE,0.08,202324
82,GUAM,0.11,202324
83,GUATEMALA,250.57,202324
84,GUERNSEY,0.17,202324
85,GUINEA,"11,438.60",202324
86,GUINEA BISSAU,624.97,202324
87,GUYANA,54.82,202324
88,HAITI,126.28,202324
89,HONDURAS,253.66,202324
90,HONG KONG,"1,69,362.88",202324
91,HUNGARY,"2,539.86",202324
92,ICELAND,49.58,202324
93,INDONESIA,"1,93,863.38",202324
94,IRAN,"5,176.52",202324
95,IRAQ,"2,48,195.52",202324
96,IRELAND,"47,034.55",202324
97,ISRAEL,"16,599.00",202324
98,ITALY,"47,977.77",202324
99,JAMAICA,61.93,202324
100,JAPAN,"1,46,488.49",202324
101,JORDAN,"11,663.98",202324
102,KAZAKHSTAN,788.54,202324
103,KENYA,"1,460.48",202324
104,KOREA DP RP,11.68,202324
105,KOREA RP,"1,75,039.94",202324
106,KUWAIT,"69,299.40",202324
107,KYRGHYZSTAN,77.61,202324
108,LAO PD RP,826.01,202324
109,LATVIA,"1,520.53",202324
110,LEBANON,932.73,202324
111,LESOTHO,0.58,202324
112,LIBERIA,103.24,202324
113,LIBYA,"1,974.27",202324
114,LIECHTENSTEIN,70.69,202324
115,LITHUANIA,"1,130.90",202324
116,LUXEMBOURG,"2,186.32",202324
117,MACAO,62.51,202324
118,MACEDONIA,6.08,202324
119,MADAGASCAR,"1,585.32",202324
120,MALAWI,485.73,202324
121,MALAYSIA,"1,05,572.32",202324
122,MALDIVES,718.24,202324
123,MALI,242.44,202324
124,MALTA,294.79,202324
125,MARSHALL ISLAND,3.01,202324
126,MARTINIQUE,4.94,202324
127,MAURITANIA,158.58,202324
128,MAURITIUS,604.64,202324
129,MAYOTTE,13.09,202324
130,MEXICO,"25,686.50",202324
131,MICRONESIA,0.0000,202324
132,MOLDOVA,35.13,202324
133,MONACO,5.25,202324
134,MONGOLIA,8.48,202324
135,MONTENEGRO,14.41,202324
136,MONTSERRAT,0.00,202324
137,MOROCCO,"11,639.84",202324
138,MOZAMBIQUE,"20,031.05",202324
139,MYANMAR,"8,914.34",202324
140,N. MARIANA IS.,0.00,202324
141,NAMIBIA,"2,990.42",202324
142,NAURU RP,0.02,202324
143,NEPAL,"6,879.42",202324
144,NETHERLAND,"41,100.21",202324
145,NETHERLANDANTIL,161.44,202324
146,NEW CALEDONIA,207.11,202324
147,NEW ZEALAND,"2,774.44",202324
148,NICARAGUA,398.04,202324
149,NIGER,"1,153.48",202324
150,NIGERIA,"35,048.64",202324
151,NIUE IS,0.00,202324
152,NORFOLK IS,1.10,202324
153,NORWAY,"6,577.78",202324
154,OMAN,"37,444.43",202324
155,PAKISTAN IR,23.82,202324
156,PALAU,0.0003,202324
157,PANAMA REPUBLIC,"3,071.51",202324
158,PAPUA N GNA,"3,900.58",202324
159,PARAGUAY,252.81,202324
160,PERU,"25,795.78",202324
161,PHILIPPINES,"11,876.63",202324
162,PITCAIRN IS.,0.00,202324
163,POLAND,"12,452.98",202324
164,PORTUGAL,"1,476.39",202324
165,PUERTO RICO,"1,196.21",202324
166,QATAR,"1,02,221.85",202324
167,REUNION,292.84,202324
168,ROMANIA,"9,937.82",202324
169,RUSSIA,"5,06,386.27",202324
170,RWANDA,97.32,202324
171,SAMOA,182.86,202324
172,SAN MARINO,0.55,202324
173,SAO TOME,0.18,202324
174,SAUDI ARAB,"2,60,116.23",202324
175,SENEGAL,"5,247.56",202324
176,SERBIA,161.38,202324
177,SEYCHELLES,71.98,202324
178,SIERRA LEONE,254.03,202324
179,SINGAPORE,"1,75,547.96",202324
180,SINT MAARTEN (DUTCH PART),0.0000,202324
181,SLOVAK REP,559.76,202324
182,SLOVENIA,"2,545.66",202324
183,SOLOMON IS,50.82,202324
184,SOMALIA,233.86,202324
185,SOUTH AFRICA,"87,252.01",202324
186,SOUTH SUDAN,1.33,202324
187,SPAIN,"20,333.33",202324
188,SRI LANKA DSR,"11,804.48",202324
189,ST HELENA,0.44,202324
190,ST KITT N A,0.90,202324
191,ST LUCIA,10.21,202324
192,ST VINCENT,0.0000,202324
193,STATE OF PALEST,1.82,202324
194,SUDAN,"2,741.45",202324
195,SURINAME,187.04,202324
196,SWAZILAND,156.83,202324
197,SWEDEN,"14,440.01",202324
