S.No.,country,imp_inr_cr,year
1,AFGHANISTAN,"3,765.61",201920
2,ALBANIA,335.38,201920
3,ALGERIA,"14,122.19",201920
4,AMERI SAMOA,21.96,201920
5,ANDORRA,0.24,201920
6,ANGOLA,"25,832.09",201920
7,ANGUILLA,0.69,201920
8,ANTARTICA,0.53,201920
9,ANTIGUA,1.40,201920
10,ARGENTINA,"16,509.64",201920
11,ARMENIA,11.03,201920
12,ARUBA,2.16,201920
13,AUSTRALIA,"69,183.24",201920
14,AUSTRIA,"4,458.61",201920
15,AZERBAIJAN,"1,943.04",201920
16,BAHAMAS,102.65,201920
17,BAHARAIN IS,"2,990.33",201920
18,BANGLADESH PR,"8,975.14",201920
19,BARBADOS,10.47,201920
20,BELARUS,"1,036.50",201920
21,BELGIUM,"62,830.75",201920
22,BELIZE,6.73,201920
23,BENIN,"2,533.94",201920
24,BERMUDA,0.00,201920
25,BHUTAN,"2,870.77",201920
26,BOLIVIA,"5,995.82",201920
27,BOSNIA-HRZGOVIN,23.75,201920
28,BOTSWANA,"5,284.32",201920
29,BR VIRGN IS,60.54,201920
30,BRAZIL,"21,822.04",201920
31,BRUNEI,"4,170.36",201920
32,BULGARIA,"1,018.50",201920
33,BURKINA FASO,"3,839.42",201920
34,BURUNDI,26.90,201920
35,C AFRI REP,3.97,201920
36,CAMBODIA,330.61,201920
37,CAMEROON,"4,793.79",201920
38,CANADA,"27,423.46",201920
39,CAPE VERDE IS,14.43,201920
40,CAYMAN IS,10.30,201920
41,CHAD,"1,914.44",201920
42,CHILE,"8,312.73",201920
43,CHINA P RP,"4,61,524.77",201920
44,CHRISTMAS IS.,0.0000,201920
45,COCOS IS,0.00,201920
46,COLOMBIA,"5,768.43",201920
47,COMOROS,140.47,201920
48,CONGO D. REP.,227.55,201920
49,CONGO P REP,"4,096.25",201920
50,COOK IS,0.00,201920
51,COSTA RICA,342.75,201920
52,COTE D' IVOIRE,"3,193.00",201920
53,CROATIA,403.46,201920
54,CUBA,25.22,201920
55,CYPRUS,529.51,201920
56,CZECH REPUBLIC,"2,127.48",201920
57,DENMARK,"4,484.32",201920
58,DJIBOUTI,137.69,201920
59,DOMINIC REP,"2,548.77",201920
60,DOMINICA,1.75,201920
61,ECUADOR,"2,555.50",201920
62,EGYPT A RP,"14,390.89",201920
63,EL SALVADOR,22.67,201920
64,EQUTL GUINEA,"6,857.82",201920
65,ERITREA,0.00,201920
