S.No.,country,imp_inr_cr,year
66,ESTONIA,383.34,201920
67,ETHIOPIA,694.32,201920
68,FALKLAND IS,0.0000,201920
69,FAROE IS.,0.00,201920
70,FIJI IS,4.04,201920
71,FINLAND,"4,426.06",201920
72,FR GUIANA,20.17,201920
73,FR POLYNESIA,0.38,201920
74,FRANCE,"43,660.96",201920
75,GABON,978.29,201920
76,GAMBIA,288.98,201920
77,GEORGIA,80.78,201920
78,GERMANY,"96,928.35",201920
79,GHANA,"12,499.58",201920
80,GIBRALTAR,7.01,201920
81,GREECE,875.82,201920
82,GRENADA,3.37,201920
83,GUADELOUPE,1.39,201920
84,GUAM,0.01,201920
85,GUATEMALA,162.10,201920
86,GUINEA,"2,954.81",201920
87,GUINEA BISSAU,886.28,201920
88,GUYANA,49.18,201920
89,HAITI,98.72,201920
90,HONDURAS,136.31,201920
91,HONG KONG,"1,19,998.98",201920
92,HUNGARY,"1,329.88",201920
93,ICELAND,73.94,201920
94,INDONESIA,"1,06,727.27",201920
95,IRAN,"9,762.02",201920
96,IRAQ,"1,68,354.48",201920
97,IRELAND,"4,266.04",201920
98,ISRAEL,"11,296.59",201920
99,ITALY,"31,777.54",201920
100,JAMAICA,20.90,201920
101,JAPAN,"88,033.63",201920
102,JERSEY,1.02,201920
103,JORDAN,"7,542.61",201920
104,KAZAKHSTAN,"16,036.68",201920
105,KENYA,632.78,201920
106,KIRIBATI REP,0.00,201920
107,KOREA DP RP,24.68,201920
108,KOREA RP,"1,10,883.44",201920
109,KUWAIT,"67,932.09",201920
110,KYRGHYZSTAN,9.29,201920
111,LAO PD RP,21.90,201920
112,LATVIA,"1,886.72",201920
113,LEBANON,219.19,201920
114,LESOTHO,0.32,201920
115,LIBERIA,55.06,201920
116,LIBYA,301.92,201920
117,LIECHTENSTEIN,2.94,201920
118,LITHUANIA,"1,843.21",201920
119,LUXEMBOURG,384.99,201920
120,MACAO,36.32,201920
121,MACEDONIA,102.11,201920
122,MADAGASCAR,849.03,201920
123,MALAWI,225.10,201920
124,MALAYSIA,"69,166.63",201920
125,MALDIVES,42.48,201920
126,MALI,267.91,201920
127,MALTA,871.42,201920
128,MARSHALL ISLAND,25.72,201920
129,MARTINIQUE,2.04,201920
130,MAURITANIA,75.85,201920
131,MAURITIUS,197.82,201920
132,MAYOTTE,2.54,201920
133,MEXICO,"30,441.37",201920
134,MOLDOVA,1.78,201920
135,MONACO,427.08,201920
136,MONGOLIA,9.21,201920
137,MONTENEGRO,1.16,201920
138,MONTSERRAT,0.00,201920
139,MOROCCO,"6,724.91",201920
140,MOZAMBIQUE,"5,911.40",201920
141,MYANMAR,"3,910.52",201920
142,N. MARIANA IS.,0.00,201920
143,NAMIBIA,202.05,201920
144,NAURU RP,0.48,201920
145,NEPAL,"5,044.97",201920
146,NETHERLAND,"23,994.84",201920
147,NETHERLANDANTIL,160.56,201920
148,NEW CALEDONIA,1.64,201920
149,NEW ZEALAND,"3,693.81",201920
150,NICARAGUA,25.31,201920
151,NIGER,6.45,201920
152,NIGERIA,"72,428.29",201920
153,NORFOLK IS,3.15,201920
154,NORWAY,"4,480.91",201920
155,OMAN,"26,085.68",201920
156,PAKISTAN IR,97.65,201920
157,PALAU,0.02,201920
158,PANAMA REPUBLIC,534.55,201920
159,PAPUA N GNA,394.20,201920
160,PARAGUAY,179.48,201920
161,PERU,"11,141.19",201920
162,PHILIPPINES,"3,706.09",201920
163,PITCAIRN IS.,0.13,201920
164,POLAND,"5,998.92",201920
165,PORTUGAL,"1,003.34",201920
166,PUERTO RICO,370.91,201920
167,QATAR,"68,716.93",201920
168,REUNION,131.07,201920
169,ROMANIA,"1,847.99",201920
170,RUSSIA,"50,291.07",201920
171,RWANDA,28.99,201920
172,SAMOA,21.31,201920
173,SAN MARINO,1.06,201920
174,SAO TOME,0.00,201920
175,SAUDI ARAB,"1,90,245.23",201920
176,SENEGAL,"3,316.31",201920
177,SERBIA,81.03,201920
178,SEYCHELLES,33.25,201920
179,SIERRA LEONE,173.49,201920
180,SINGAPORE,"1,04,394.10",201920
181,SLOVAK REP,387.64,201920
182,SLOVENIA,"1,764.44",201920
183,SOLOMON IS,274.78,201920
184,SOMALIA,105.42,201920
185,SOUTH AFRICA,"49,507.25",201920
186,SOUTH SUDAN,51.43,201920
187,SPAIN,"11,417.12",201920
188,SRI LANKA DSR,"6,406.63",201920
189,ST HELENA,0.11,201920
190,ST KITT N A,0.00,201920
191,ST LUCIA,4.29,201920
192,ST VINCENT,0.00,201920
193,STATE OF PALEST,5.19,201920
194,SUDAN,"2,800.28",201920
195,SURINAME,387.56,201920
196,SWAZILAND,49.76,201920
197,SWEDEN,"7,885.98",201920
198,SWITZERLAND,"1,19,239.41",201920
199,SYRIA,108.66,201920
200,TAIWAN,"28,654.47",201920
201,TAJIKISTAN,2.09,201920
202,TANZANIA REP,"7,287.51",201920
203,THAILAND,"48,047.85",201920
204,TOGO,"2,703.81",201920
205,TOKELAU IS,0.55,201920
206,TONGA,0.00,201920
207,TRINIDAD,600.25,201920
208,TUNISIA,928.52,201920
209,TURKEY,"14,985.24",201920
210,TURKMENISTAN,27.99,201920
211,TURKS C IS,0.0000,201920
212,TUVALU,0.00,201920
213,U ARAB EMTS,"2,14,447.02",201920
214,U K,"47,494.88",201920
215,U S A,"2,53,363.46",201920
216,UGANDA,241.05,201920
217,UKRAINE,"14,618.69",201920
218,UNSPECIFIED,870.23,201920
219,URUGUAY,406.73,201920
220,US MINOR OUTLYING ISLANDS,2.86,201920
221,UZBEKISTAN,470.85,201920
222,VANUATU REP,0.0001,201920
223,VATICAN CITY,1.30,201920
224,VENEZUELA,"42,955.10",201920
225,VIETNAM SOC REP,"51,490.60",201920
226,VIRGIN IS US,53.52,201920
227,WALLIS F IS,0.00,201920
228,YEMEN REPUBLC,160.97,201920
229,ZAMBIA,"5,986.03",201920
230,ZIMBABWE,96.72,201920
