HSCode,Commodity,Ex_INR,%Share,Year
65,HEADGEAR AND PARTS THEREOF.,426.10,0.0192,201920
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",22.00,0.0010,201920
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,"1,849.13",0.0833,201920
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.","11,944.15",0.5381,201920
69,CERAMIC PRODUCTS.,"13,573.72",0.6115,201920
70,GLASS AND GLASSWARE.,"5,941.11",0.2676,201920
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","2,55,440.85",11.5071,201920
72,IRON AND STEEL,"65,774.73",2.9630,201920
73,ARTICLES OF IRON OR STEEL,"49,843.10",2.2453,201920
74,COPPER AND ARTICLES THEREOF.,"6,060.05",0.2730,201920
75,NICKEL AND ARTICLES THEREOF.,653.25,0.0294,201920
76,ALUMINIUM AND ARTICLES THEREOF.,"36,104.67",1.6264,201920
78,LEAD AND ARTICLES THEREOF.,"2,642.25",0.1190,201920
79,ZINC AND ARTICLES THEREOF.,"4,037.29",0.1819,201920
80,TIN AND ARTICLES THEREOF.,74.09,0.0033,201920
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,357.34,0.0161,201920
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.","6,174.29",0.2781,201920
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"4,629.75",0.2086,201920
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","1,47,661.29",6.6518,201920
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","1,07,669.74",4.8503,201920
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL","1,822.57",0.0821,201920
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.","1,18,403.49",5.3338,201920
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","10,096.34",0.4548,201920
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","32,123.25",1.4471,201920
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;","23,882.84",1.0759,201920
91,CLOCKS AND WATCHES AND PARTS THEREOF.,632.03,0.0285,201920
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,195.52,0.0088,201920
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,934.09,0.0421,201920
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC","13,170.95",0.5933,201920
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","2,859.66",0.1288,201920
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"4,412.46",0.1988,201920
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,884.03,0.0398,201920
98,PROJECT GOODS; SOME SPECIAL USES.,395.04,0.0178,201920
99,MISCELLANEOUS GOODS.,"1,414.63",0.0637,201920
