HSCode,Commodity,Ex_INR,%Share,Year
1,LIVE ANIMALS.,238.01,0.0107,201920
2,MEAT AND EDIBLE MEAT OFFAL.,"23,375.04",1.0530,201920
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","43,626.95",1.9653,201920
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","2,503.08",0.1128,201920
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",664.49,0.0299,201920
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,541.61,0.0244,201920
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"7,762.28",0.3497,201920
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"10,604.75",0.4777,201920
9,"COFFEE, TEA, MATE AND SPICES.","23,379.09",1.0532,201920
10,CEREALS.,"47,333.49",2.1323,201920
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"2,368.65",0.1067,201920
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","12,585.04",0.5669,201920
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","5,830.33",0.2626,201920
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,335.68,0.0151,201920
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,"8,250.68",0.3717,201920
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","3,408.59",0.1536,201920
17,SUGARS AND SUGAR CONFECTIONERY.,"15,582.47",0.7020,201920
18,COCOA AND COCOA PREPARATIONS.,"1,274.69",0.0574,201920
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","3,764.14",0.1696,201920
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","4,427.48",0.1994,201920
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"5,915.02",0.2665,201920
22,"BEVERAGES, SPIRITS AND VINEGAR.","1,805.51",0.0813,201920
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"8,263.04",0.3722,201920
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,"6,409.39",0.2887,201920
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.","14,160.11",0.6379,201920
26,"ORES, SLAG AND ASH.","22,400.51",1.0091,201920
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","3,02,367.17",13.6210,201920
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.","12,512.19",0.5636,201920
29,ORGANIC CHEMICALS,"1,23,866.71",5.5799,201920
30,PHARMACEUTICAL PRODUCTS,"1,15,473.03",5.2018,201920
31,FERTILISERS.,836.76,0.0377,201920
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.","24,409.44",1.0996,201920
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.","15,585.23",0.7021,201920
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.","4,459.59",0.2009,201920
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"1,582.14",0.0713,201920
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,832.21,0.0375,201920
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,79.34,0.0036,201920
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"35,662.93",1.6065,201920
39,PLASTIC AND ARTICLES THEREOF.,"48,969.67",2.2060,201920
40,RUBBER AND ARTICLES THEREOF.,"22,402.38",1.0092,201920
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,717.63",0.1675,201920
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.","17,180.22",0.7739,201920
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",89.81,0.0040,201920
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"3,134.63",0.1412,201920
45,CORK AND ARTICLES OF CORK.,22.46,0.0010,201920
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",354.41,0.0160,201920
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,62.48,0.0028,201920
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.","13,821.65",0.6226,201920
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.","2,411.28",0.1086,201920
50,SILK,595.41,0.0268,201920
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","1,134.29",0.0511,201920
52,COTTON.,"40,714.81",1.8341,201920
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,"3,171.24",0.1429,201920
54,MAN-MADE FILAMENTS.,"16,961.69",0.7641,201920
55,MAN-MADE STAPLE FIBRES.,"11,824.16",0.5327,201920
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.","2,924.88",0.1318,201920
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"11,799.84",0.5316,201920
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,"2,968.91",0.1337,201920
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.","2,065.11",0.0930,201920
60,KNITTED OR CROCHETED FABRICS.,"2,992.31",0.1348,201920
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","53,199.25",2.3965,201920
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.","56,644.80",2.5517,201920
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"35,494.58",1.5990,201920
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","18,613.56",0.8385,201920
