HSCode,Commodity,Ex_INR,%Share,Year
1,LIVE ANIMALS.,73.92,0.0023,202122
2,MEAT AND EDIBLE MEAT OFFAL.,"25,156.19",0.7994,202122
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","51,420.68",1.6339,202122
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","4,631.26",0.1472,202122
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.","2,002.49",0.0636,202122
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,772.40,0.0245,202122
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"11,085.63",0.3523,202122
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"11,481.93",0.3649,202122
9,"COFFEE, TEA, MATE AND SPICES.","29,571.67",0.9397,202122
10,CEREALS.,"96,080.76",3.0531,202122
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"4,901.77",0.1558,202122
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","13,029.49",0.4140,202122
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","7,299.34",0.2319,202122
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,399.01,0.0127,202122
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,"11,527.60",0.3663,202122
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","5,754.79",0.1829,202122
17,SUGARS AND SUGAR CONFECTIONERY.,"37,973.57",1.2067,202122
18,COCOA AND COCOA PREPARATIONS.,"1,145.45",0.0364,202122
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","4,720.04",0.1500,202122
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","5,605.69",0.1781,202122
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"8,270.58",0.2628,202122
22,"BEVERAGES, SPIRITS AND VINEGAR.","2,391.20",0.0760,202122
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"11,808.53",0.3752,202122
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,"6,881.52",0.2187,202122
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.","16,963.16",0.5390,202122
26,"ORES, SLAG AND ASH.","26,825.22",0.8524,202122
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","5,19,516.67",16.5082,202122
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.","19,800.09",0.6292,202122
29,ORGANIC CHEMICALS,"1,64,347.65",5.2223,202122
30,PHARMACEUTICAL PRODUCTS,"1,44,580.86",4.5942,202122
31,FERTILISERS.,629.59,0.0200,202122
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.","29,513.24",0.9378,202122
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.","16,605.72",0.5277,202122
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.","6,403.28",0.2035,202122
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"2,725.84",0.0866,202122
