HSCode,Commodity,Ex_INR,%Share,Year
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,"1,068.19",0.0339,202122
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,83.71,0.0027,202122
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"52,415.70",1.6656,202122
39,PLASTIC AND ARTICLES THEREOF.,"67,439.76",2.1430,202122
40,RUBBER AND ARTICLES THEREOF.,"34,559.99",1.0982,202122
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,407.43",0.1083,202122
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.","18,931.41",0.6016,202122
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",178.26,0.0057,202122
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"5,545.24",0.1762,202122
45,CORK AND ARTICLES OF CORK.,34.20,0.0011,202122
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",559.80,0.0178,202122
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,15.26,0.0005,202122
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.","23,688.18",0.7527,202122
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.","2,708.33",0.0861,202122
50,SILK,867.04,0.0276,202122
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","1,006.35",0.0320,202122
52,COTTON.,"80,434.54",2.5559,202122
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,"5,034.61",0.1600,202122
54,MAN-MADE FILAMENTS.,"18,069.67",0.5742,202122
55,MAN-MADE STAPLE FIBRES.,"15,402.21",0.4894,202122
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.","4,157.14",0.1321,202122
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"16,640.11",0.5288,202122
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,"2,758.93",0.0877,202122
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.","3,303.36",0.1050,202122
60,KNITTED OR CROCHETED FABRICS.,"6,339.75",0.2015,202122
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","60,965.93",1.9373,202122
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.","58,551.65",1.8605,202122
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"50,363.84",1.6004,202122
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","18,724.86",0.5950,202122
65,HEADGEAR AND PARTS THEREOF.,706.07,0.0224,202122
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",28.39,0.0009,202122
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,"4,481.33",0.1424,202122
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.","17,037.88",0.5414,202122
69,CERAMIC PRODUCTS.,"17,019.43",0.5408,202122
70,GLASS AND GLASSWARE.,"7,927.87",0.2519,202122
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","2,92,745.04",9.3023,202122
72,IRON AND STEEL,"1,70,590.65",5.4207,202122
73,ARTICLES OF IRON OR STEEL,"65,933.64",2.0951,202122
74,COPPER AND ARTICLES THEREOF.,"17,138.70",0.5446,202122
75,NICKEL AND ARTICLES THEREOF.,941.06,0.0299,202122
76,ALUMINIUM AND ARTICLES THEREOF.,"79,168.82",2.5157,202122
78,LEAD AND ARTICLES THEREOF.,"4,054.25",0.1288,202122
79,ZINC AND ARTICLES THEREOF.,"7,495.05",0.2382,202122
80,TIN AND ARTICLES THEREOF.,149.49,0.0048,202122
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,810.42,0.0258,202122
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.","8,563.23",0.2721,202122
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"6,848.63",0.2176,202122
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","1,89,496.84",6.0215,202122
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","1,50,591.55",4.7852,202122
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL","3,102.72",0.0986,202122
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.","1,47,350.64",4.6822,202122
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","8,521.74",0.2708,202122
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","26,975.95",0.8572,202122
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;","29,675.67",0.9430,202122
91,CLOCKS AND WATCHES AND PARTS THEREOF.,650.51,0.0207,202122
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,287.45,0.0091,202122
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,"1,882.51",0.0598,202122
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC","21,392.20",0.6798,202122
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","4,067.97",0.1293,202122
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"5,095.23",0.1619,202122
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,545.65,0.0173,202122
98,PROJECT GOODS; SOME SPECIAL USES.,86.70,0.0028,202122
99,MISCELLANEOUS GOODS.,505.95,0.0161,202122
