Report Dated: 22 Jul 2025  Values in ₹ Crore ,,,,,,,,,
S.No.,HSCode,Commodity,2017 - 2018,%Share,2018 - 2019,%Share,%Growth,,
40,40,RUBBER AND ARTICLES THEREOF.,"22,355.26",0.7449,"25,980.21",0.7227,16.22,,
,,,,,,,,,
41,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,967.71",0.1322,"4,065.58",0.1131,2.47,,
,,,,,,,,,
42,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND...","2,843.81",0.0948,"3,483.68",0.0969,22.50,,
,,,,,,,,,
43,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",35.26,0.0012,48.38,0.0013,37.21,,
,,,,,,,,,
44,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"15,331.95",0.5109,"15,591.16",0.4337,1.69,,
,,,,,,,,,
45,45,CORK AND ARTICLES OF CORK.,39.80,0.0013,55.81,0.0016,40.25,,
,,,,,,,,,
46,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; B...",17.82,0.0006,27.80,0.0008,55.98,,
,,,,,,,,,
47,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCR...,"13,592.25",0.4529,"18,321.44",0.5097,34.79,,
,,,,,,,,,
48,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERB...","19,511.77",0.6502,"21,646.16",0.6022,10.94,,
,,,,,,,,,
49,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRIN...","2,054.60",0.0685,"2,429.86",0.0676,18.26,,
,,,,,,,,,
50,50,SILK,"1,615.24",0.0538,"1,418.93",0.0395,-12.15,,
,,,,,,,,,
51,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","2,223.96",0.0741,"2,679.21",0.0745,20.47,,
,,,,,,,,,
52,52,COTTON.,"7,606.77",0.2535,"5,834.64",0.1623,-23.30,,
,,,,,,,,,
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAP...,"2,243.81",0.0748,"2,226.26",0.0619,-0.78,,
,,,,,,,,,
54,54,MAN-MADE FILAMENTS.,"5,538.28",0.1845,"6,842.90",0.1904,23.56,,
,,,,,,,,,
55,55,MAN-MADE STAPLE FIBRES.,"4,658.33",0.1552,"6,507.84",0.1810,39.70,,
,,,,,,,,,
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES A...","2,115.24",0.0705,"2,525.88",0.0703,19.41,,
,,,,,,,,,
