HSCode,Commodity,Ex_INR,%Share,Year
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,"5,178.72",0.1399,202425
54,MAN-MADE FILAMENTS.,"14,969.73",0.4044,202425
55,MAN-MADE STAPLE FIBRES.,"13,643.25",0.3685,202425
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.","5,635.37",0.1522,202425
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"17,743.64",0.4793,202425
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,"3,107.28",0.0839,202425
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.","4,258.22",0.1150,202425
60,KNITTED OR CROCHETED FABRICS.,"4,998.91",0.1350,202425
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","65,179.20",1.7607,202425
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.","70,397.40",1.9017,202425
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"51,625.65",1.3946,202425
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","21,185.53",0.5723,202425
65,HEADGEAR AND PARTS THEREOF.,777.04,0.0210,202425
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",44.59,0.0012,202425
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,"5,081.76",0.1373,202425
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.","18,721.03",0.5057,202425
69,CERAMIC PRODUCTS.,"23,029.13",0.6221,202425
70,GLASS AND GLASSWARE.,"9,663.10",0.2610,202425
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","2,53,571.69",6.8498,202425
72,IRON AND STEEL,"78,223.52",2.1131,202425
73,ARTICLES OF IRON OR STEEL,"86,152.58",2.3272,202425
74,COPPER AND ARTICLES THEREOF.,"17,551.75",0.4741,202425
75,NICKEL AND ARTICLES THEREOF.,"1,598.69",0.0432,202425
76,ALUMINIUM AND ARTICLES THEREOF.,"57,737.89",1.5597,202425
78,LEAD AND ARTICLES THEREOF.,"8,013.14",0.2165,202425
79,ZINC AND ARTICLES THEREOF.,"6,263.43",0.1692,202425
80,TIN AND ARTICLES THEREOF.,201.56,0.0054,202425
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"1,292.65",0.0349,202425
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.","9,994.19",0.2700,202425
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"8,222.74",0.2221,202425
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","2,83,237.29",7.6511,202425
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","3,73,539.11",10.0905,202425
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL","3,019.47",0.0816,202425
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.","1,91,605.20",5.1759,202425
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","58,843.64",1.5895,202425
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","36,184.26",0.9774,202425
