HSCode,Commodity,Ex_INR,%Share,Year
1,LIVE ANIMALS.,102.47,0.0028,202324
2,MEAT AND EDIBLE MEAT OFFAL.,"31,746.70",0.8772,202324
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","50,710.42",1.4012,202324
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","5,174.36",0.1430,202324
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.","2,227.25",0.0615,202324
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,717.83,0.0198,202324
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"16,066.70",0.4440,202324
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"13,558.05",0.3746,202324
9,"COFFEE, TEA, MATE AND SPICES.","39,229.76",1.0840,202324
10,CEREALS.,"90,961.67",2.5135,202324
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"5,968.35",0.1649,202324
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","17,746.20",0.4904,202324
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","8,053.79",0.2225,202324
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,378.79,0.0105,202324
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,"15,110.48",0.4175,202324
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","6,009.30",0.1661,202324
17,SUGARS AND SUGAR CONFECTIONERY.,"27,255.78",0.7531,202324
18,COCOA AND COCOA PREPARATIONS.,"1,521.94",0.0421,202324
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","6,798.49",0.1879,202324
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","9,571.24",0.2645,202324
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"12,167.47",0.3362,202324
22,"BEVERAGES, SPIRITS AND VINEGAR.","3,738.90",0.1033,202324
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"23,041.11",0.6367,202324
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,"12,005.89",0.3318,202324
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.","18,415.21",0.5089,202324
26,"ORES, SLAG AND ASH.","35,356.30",0.9770,202324
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","7,25,404.15",20.0446,202324
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.","26,551.95",0.7337,202324
29,ORGANIC CHEMICALS,"1,68,171.93",4.6470,202324
30,PHARMACEUTICAL PRODUCTS,"1,83,051.61",5.0581,202324
31,FERTILISERS.,"1,077.38",0.0298,202324
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.","32,997.24",0.9118,202324
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.","24,530.55",0.6778,202324
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.","8,241.75",0.2277,202324
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"3,130.71",0.0865,202324
