HSCode,Commodity,Ex_INR,%Share,Year
1,LIVE ANIMALS.,40.98,0.0011,202223
2,MEAT AND EDIBLE MEAT OFFAL.,"26,278.95",0.7256,202223
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","54,786.58",1.5128,202223
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","4,898.73",0.1353,202223
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.","2,092.06",0.0578,202223
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,708.48,0.0196,202223
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"15,415.43",0.4257,202223
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"11,643.33",0.3215,202223
9,"COFFEE, TEA, MATE AND SPICES.","33,350.53",0.9209,202223
10,CEREALS.,"1,11,084.35",3.0673,202223
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"6,065.63",0.1675,202223
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","16,130.48",0.4454,202223
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","8,630.68",0.2383,202223
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,343.98,0.0095,202223
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,"16,587.77",0.4580,202223
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","6,356.50",0.1755,202223
17,SUGARS AND SUGAR CONFECTIONERY.,"50,751.48",1.4014,202223
18,COCOA AND COCOA PREPARATIONS.,"1,242.14",0.0343,202223
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","5,908.69",0.1632,202223
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","7,525.40",0.2078,202223
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"10,131.06",0.2797,202223
22,"BEVERAGES, SPIRITS AND VINEGAR.","3,016.28",0.0833,202223
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"20,240.84",0.5589,202223
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,"9,739.85",0.2689,202223
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.","18,997.49",0.5246,202223
26,"ORES, SLAG AND ASH.","17,545.12",0.4845,202223
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","8,12,669.99",22.4398,202223
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.","26,641.66",0.7356,202223
29,ORGANIC CHEMICALS,"1,71,546.44",4.7368,202223
30,PHARMACEUTICAL PRODUCTS,"1,59,643.65",4.4082,202223
31,FERTILISERS.,"1,057.32",0.0292,202223
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.","26,528.28",0.7325,202223
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.","19,124.99",0.5281,202223
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.","7,451.92",0.2058,202223
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"3,609.20",0.0997,202223
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,"1,546.95",0.0427,202223
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,91.90,0.0025,202223
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"63,282.19",1.7474,202223
39,PLASTIC AND ARTICLES THEREOF.,"61,518.48",1.6987,202223
40,RUBBER AND ARTICLES THEREOF.,"37,603.55",1.0383,202223
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,468.37",0.0958,202223
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.","21,091.23",0.5824,202223
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",118.69,0.0033,202223
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"5,091.97",0.1406,202223
45,CORK AND ARTICLES OF CORK.,36.86,0.0010,202223
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",541.60,0.0150,202223
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,29.67,0.0008,202223
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.","23,703.82",0.6545,202223
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.","3,074.83",0.0849,202223
50,SILK,812.26,0.0224,202223
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","1,377.26",0.0380,202223
52,COTTON.,"45,352.18",1.2523,202223
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,"3,740.67",0.1033,202223
54,MAN-MADE FILAMENTS.,"15,731.12",0.4344,202223
55,MAN-MADE STAPLE FIBRES.,"14,283.50",0.3944,202223
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.","4,148.49",0.1146,202223
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"14,700.67",0.4059,202223
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,"2,786.26",0.0769,202223
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.","3,129.08",0.0864,202223
60,KNITTED OR CROCHETED FABRICS.,"4,611.62",0.1273,202223
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","61,807.35",1.7067,202223
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.","68,265.43",1.8850,202223
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"45,362.15",1.2526,202223
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","23,692.91",0.6542,202223
65,HEADGEAR AND PARTS THEREOF.,810.25,0.0224,202223
