HSCode,Commodity,Ex_INR,%Share,Year
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",37.60,0.0010,202223
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,"4,072.44",0.1125,202223
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.","17,274.38",0.4770,202223
69,CERAMIC PRODUCTS.,"20,675.17",0.5709,202223
70,GLASS AND GLASSWARE.,"8,406.90",0.2321,202223
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","3,05,758.20",8.4427,202223
72,IRON AND STEEL,"1,06,919.14",2.9523,202223
73,ARTICLES OF IRON OR STEEL,"78,813.60",2.1762,202223
74,COPPER AND ARTICLES THEREOF.,"13,470.85",0.3720,202223
75,NICKEL AND ARTICLES THEREOF.,"1,609.84",0.0445,202223
76,ALUMINIUM AND ARTICLES THEREOF.,"70,930.97",1.9586,202223
78,LEAD AND ARTICLES THEREOF.,"3,875.25",0.1070,202223
79,ZINC AND ARTICLES THEREOF.,"10,607.83",0.2929,202223
80,TIN AND ARTICLES THEREOF.,97.59,0.0027,202223
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,998.03,0.0276,202223
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.","8,815.39",0.2434,202223
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"6,908.74",0.1908,202223
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","2,20,977.33",6.1017,202223
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","2,30,510.66",6.3650,202223
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL","2,971.18",0.0820,202223
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.","1,70,491.88",4.7077,202223
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","11,498.29",0.3175,202223
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","32,450.04",0.8960,202223
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;","38,555.81",1.0646,202223
91,CLOCKS AND WATCHES AND PARTS THEREOF.,630.97,0.0174,202223
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,369.74,0.0102,202223
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,"2,541.98",0.0702,202223
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC","19,329.18",0.5337,202223
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","4,164.56",0.1150,202223
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"6,116.49",0.1689,202223
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,"1,089.87",0.0301,202223
98,PROJECT GOODS; SOME SPECIAL USES.,140.64,0.0039,202223
99,MISCELLANEOUS GOODS.,841.77,0.0232,202223
