HSCode,Commodity,Ex_INR,%Share,Year
1,LIVE ANIMALS.,298.09,0.0129,201819
2,MEAT AND EDIBLE MEAT OFFAL.,"26,033.92",1.1281,201819
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","43,832.19",1.8994,201819
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","3,773.24",0.1635,201819
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",927.61,0.0402,201819
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,571.43,0.0248,201819
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"9,090.20",0.3939,201819
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"11,292.27",0.4893,201819
9,"COFFEE, TEA, MATE AND SPICES.","22,336.00",0.9679,201819
10,CEREALS.,"56,828.55",2.4625,201819
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"2,249.40",0.0975,201819
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","11,449.91",0.4962,201819
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","7,375.82",0.3196,201819
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,378.87,0.0164,201819
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,"7,662.70",0.3320,201819
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","3,030.43",0.1313,201819
17,SUGARS AND SUGAR CONFECTIONERY.,"11,404.71",0.4942,201819
18,COCOA AND COCOA PREPARATIONS.,"1,350.86",0.0585,201819
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","3,742.74",0.1622,201819
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","4,120.53",0.1786,201819
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"5,387.04",0.2334,201819
22,"BEVERAGES, SPIRITS AND VINEGAR.","2,277.58",0.0987,201819
