HSCode,Commodity,Ex_INR,%Share,Year
1,LIVE ANIMALS.,63.24,0.0029,202021
2,MEAT AND EDIBLE MEAT OFFAL.,"23,845.80",1.1045,202021
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","38,795.64",1.7969,202021
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","2,606.32",0.1207,202021
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",716.04,0.0332,202021
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,575.99,0.0267,202021
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"9,702.73",0.4494,202021
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"9,995.05",0.4629,202021
9,"COFFEE, TEA, MATE AND SPICES.","28,916.45",1.3393,202021
10,CEREALS.,"74,783.60",3.4637,202021
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"3,216.88",0.1490,202021
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","13,493.55",0.6250,202021
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","5,392.85",0.2498,202021
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,326.61,0.0151,202021
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,"12,083.11",0.5597,202021
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","4,723.63",0.2188,202021
17,SUGARS AND SUGAR CONFECTIONERY.,"23,320.89",1.0801,202021
18,COCOA AND COCOA PREPARATIONS.,"1,108.38",0.0513,202021
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","4,567.43",0.2115,202021
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","5,203.05",0.2410,202021
