HSCode,Commodity,Ex_INR,%Share,Year
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"6,905.59",0.3198,202021
22,"BEVERAGES, SPIRITS AND VINEGAR.","2,627.96",0.1217,202021
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"14,910.54",0.6906,202021
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,"6,496.99",0.3009,202021
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.","17,614.40",0.8158,202021
26,"ORES, SLAG AND ASH.","38,822.96",1.7982,202021
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","1,99,073.16",9.2204,202021
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.","12,301.07",0.5697,202021
29,ORGANIC CHEMICALS,"1,33,140.37",6.1666,202021
30,PHARMACEUTICAL PRODUCTS,"1,43,738.39",6.6575,202021
31,FERTILISERS.,779.08,0.0361,202021
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.","22,659.81",1.0495,202021
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.","14,199.90",0.6577,202021
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.","5,244.55",0.2429,202021
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"1,862.94",0.0863,202021
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,953.28,0.0442,202021
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,72.49,0.0034,202021
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"37,886.06",1.7548,202021
39,PLASTIC AND ARTICLES THEREOF.,"51,004.32",2.3624,202021
40,RUBBER AND ARTICLES THEREOF.,"24,057.66",1.1143,202021
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"2,801.42",0.1298,202021
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.","13,513.60",0.6259,202021
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",104.33,0.0048,202021
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"3,496.06",0.1619,202021
45,CORK AND ARTICLES OF CORK.,27.58,0.0013,202021
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",329.91,0.0153,202021
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,80.08,0.0037,202021
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.","14,353.46",0.6648,202021
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.","1,844.54",0.0854,202021
50,SILK,586.20,0.0272,202021
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",656.32,0.0304,202021
52,COTTON.,"46,662.67",2.1613,202021
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,"3,945.94",0.1828,202021
54,MAN-MADE FILAMENTS.,"11,470.08",0.5313,202021
55,MAN-MADE STAPLE FIBRES.,"9,558.55",0.4427,202021
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.","3,665.78",0.1698,202021
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"13,810.57",0.6397,202021
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,"2,318.59",0.1074,202021
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.","2,687.65",0.1245,202021
60,KNITTED OR CROCHETED FABRICS.,"3,569.65",0.1653,202021
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","46,896.03",2.1721,202021
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.","43,874.05",2.0321,202021
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"38,587.24",1.7872,202021
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","13,878.87",0.6428,202021
65,HEADGEAR AND PARTS THEREOF.,490.64,0.0227,202021
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",20.92,0.0010,202021
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,"2,749.03",0.1273,202021
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.","13,749.14",0.6368,202021
69,CERAMIC PRODUCTS.,"15,717.91",0.7280,202021
70,GLASS AND GLASSWARE.,"6,152.44",0.2850,202021
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","1,92,969.39",8.9377,202021
72,IRON AND STEEL,"89,928.15",4.1652,202021
73,ARTICLES OF IRON OR STEEL,"48,761.35",2.2585,202021
74,COPPER AND ARTICLES THEREOF.,"10,208.78",0.4728,202021
75,NICKEL AND ARTICLES THEREOF.,414.90,0.0192,202021
76,ALUMINIUM AND ARTICLES THEREOF.,"42,775.97",1.9812,202021
78,LEAD AND ARTICLES THEREOF.,"2,584.55",0.1197,202021
79,ZINC AND ARTICLES THEREOF.,"5,510.40",0.2552,202021
80,TIN AND ARTICLES THEREOF.,78.44,0.0036,202021
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,352.89,0.0163,202021
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.","6,162.85",0.2854,202021
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"5,049.71",0.2339,202021
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","1,40,162.50",6.4919,202021
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","1,05,034.94",4.8649,202021
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL","1,271.34",0.0589,202021
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.","1,00,697.89",4.6640,202021
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","8,618.77",0.3992,202021
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","33,464.89",1.5500,202021
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;","24,221.74",1.1219,202021
91,CLOCKS AND WATCHES AND PARTS THEREOF.,552.34,0.0256,202021
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,187.15,0.0087,202021
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,"1,523.34",0.0706,202021
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC","15,055.64",0.6973,202021
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","2,977.89",0.1379,202021
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"3,876.04",0.1795,202021
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,382.57,0.0177,202021
98,PROJECT GOODS; SOME SPECIAL USES.,61.13,0.0028,202021
99,MISCELLANEOUS GOODS.,769.65,0.0356,202021
