S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"6,106.20",202021
2,ALBANIA,346.19,202021
3,ALGERIA,"4,398.10",202021
4,AMERI SAMOA,4.33,202021
5,ANDORRA,0.15,202021
6,ANGOLA,"1,921.23",202021
7,ANGUILLA,0.38,202021
8,ANTARTICA,7.69,202021
9,ANTIGUA,11.91,202021
10,ARGENTINA,"5,087.62",202021
11,ARMENIA,514.62,202021
12,ARUBA,20.69,202021
13,AUSTRALIA,"29,927.64",202021
14,AUSTRIA,"3,354.33",202021
15,AZERBAIJAN,376.22,202021
16,BAHAMAS,33.73,202021
17,BAHARAIN IS,"3,903.63",202021
18,BANGLADESH PR,"71,509.29",202021
19,BARBADOS,82.00,202021
20,BELARUS,461.37,202021
21,BELGIUM,"38,682.78",202021
22,BELIZE,69.65,202021
23,BENIN,"4,102.45",202021
24,BERMUDA,33.11,202021
25,BHUTAN,"5,193.22",202021
26,BOLIVIA,696.20,202021
27,BOSNIA-HRZGOVIN,111.61,202021
28,BOTSWANA,"1,274.12",202021
29,BR VIRGN IS,1.88,202021
30,BRAZIL,"31,360.34",202021
31,BRUNEI,464.69,202021
32,BULGARIA,"1,260.32",202021
33,BURKINA FASO,"1,538.36",202021
34,BURUNDI,474.68,202021
35,C AFRI REP,175.67,202021
36,CAMBODIA,"1,247.52",202021
37,CAMEROON,"2,063.35",202021
38,CANADA,"21,913.16",202021
39,CAPE VERDE IS,24.53,202021
40,CAYMAN IS,31.88,202021
41,CHAD,437.86,202021
42,CHILE,"5,950.17",202021
43,CHINA P RP,"1,57,201.59",202021
44,CHRISTMAS IS.,0.00,202021
45,COCOS IS,0.0000,202021
46,COLOMBIA,"6,384.60",202021
47,COMOROS,134.91,202021
48,CONGO D. REP.,"3,179.83",202021
49,CONGO P REP,812.08,202021
50,COOK IS,0.53,202021
51,COSTA RICA,843.85,202021
52,COTE D' IVOIRE,"4,331.13",202021
53,CROATIA,"1,049.75",202021
54,CUBA,150.95,202021
55,CYPRUS,668.30,202021
56,CZECH REPUBLIC,"3,593.59",202021
57,DENMARK,"5,581.82",202021
58,DJIBOUTI,"2,570.18",202021
59,DOMINIC REP,"1,545.75",202021
60,DOMINICA,13.75,202021
61,ECUADOR,"1,536.48",202021
62,EGYPT A RP,"16,760.19",202021
63,EL SALVADOR,621.14,202021
64,EQUTL GUINEA,105.06,202021
65,ERITREA,70.03,202021
66,ESTONIA,384.39,202021
67,ETHIOPIA,"5,069.76",202021
68,FALKLAND IS,0.00,202021
69,FAROE IS.,2.00,202021
70,FIJI IS,346.83,202021
71,FINLAND,"2,104.74",202021
72,FR GUIANA,13.12,202021
73,FR POLYNESIA,41.77,202021
74,FRANCE,"35,329.22",202021
75,GABON,434.38,202021
76,GAMBIA,957.30,202021
77,GEORGIA,735.51,202021
78,GERMANY,"60,112.71",202021
79,GHANA,"6,378.69",202021
80,GIBRALTAR,"1,535.81",202021
81,GREECE,"4,044.16",202021
82,GREENLAND,8.26,202021
83,GRENADA,21.14,202021
84,GUADELOUPE,19.70,202021
85,GUAM,5.52,202021
86,GUATEMALA,"2,447.58",202021
87,GUERNSEY,0.00,202021
88,GUINEA,"3,715.76",202021
89,GUINEA BISSAU,133.39,202021
90,GUYANA,262.86,202021
91,HAITI,796.38,202021
92,HONDURAS,"1,204.29",202021
93,HONG KONG,"75,201.43",202021
94,HUNGARY,"3,667.54",202021
95,ICELAND,80.78,202021
96,INDONESIA,"37,156.69",202021
97,IRAN,"13,211.85",202021
98,IRAQ,"11,105.18",202021
99,IRELAND,"4,169.68",202021
100,ISRAEL,"19,979.78",202021
101,ITALY,"34,991.72",202021
102,JAMAICA,474.36,202021
103,JAPAN,"32,818.18",202021
104,JERSEY,0.00,202021
105,JORDAN,"4,673.34",202021
106,KAZAKHSTAN,"1,672.39",202021
107,KENYA,"14,030.84",202021
108,KIRIBATI REP,5.30,202021
109,KOREA DP RP,20.88,202021
110,KOREA RP,"34,694.23",202021
111,KUWAIT,"7,796.51",202021
112,KYRGHYZSTAN,286.05,202021
113,LAO PD RP,203.38,202021
114,LATVIA,766.76,202021
115,LEBANON,"1,407.19",202021
116,LESOTHO,295.31,202021
117,LIBERIA,"1,671.57",202021
118,LIBYA,"1,139.60",202021
119,LIECHTENSTEIN,27.91,202021
120,LITHUANIA,"1,207.07",202021
121,LUXEMBOURG,93.26,202021
122,MACAO,66.96,202021
123,MACEDONIA,171.50,202021
124,MADAGASCAR,"2,406.57",202021
125,MALAWI,"1,120.64",202021
126,MALAYSIA,"44,970.79",202021
127,MALDIVES,"1,451.56",202021
128,MALI,"1,382.70",202021
129,MALTA,"2,371.58",202021
130,MARSHALL ISLAND,4.58,202021
131,MARTINIQUE,31.49,202021
132,MAURITANIA,656.40,202021
133,MAURITIUS,"3,125.16",202021
134,MAYOTTE,41.76,202021
135,MEXICO,"22,828.94",202021
136,MICRONESIA,5.31,202021
137,MOLDOVA,85.64,202021
138,MONACO,14.13,202021
139,MONGOLIA,139.96,202021
140,MONTENEGRO,148.11,202021
141,MONTSERRAT,0.49,202021
142,MOROCCO,"3,751.37",202021
143,MOZAMBIQUE,"9,114.37",202021
144,MYANMAR,"5,732.20",202021
145,N. MARIANA IS.,2.14,202021
146,NAMIBIA,377.63,202021
147,NAURU RP,0.71,202021
148,NEPAL,"50,465.49",202021
149,NETHERLAND,"47,858.37",202021
150,NETHERLANDANTIL,142.33,202021
151,NEW CALEDONIA,85.14,202021
152,NEW ZEALAND,"3,598.77",202021
153,NICARAGUA,663.22,202021
154,NIGER,642.61,202021
155,NIGERIA,"23,152.38",202021
156,NIUE IS,0.03,202021
157,NORFOLK IS,1.59,202021
158,NORWAY,"2,385.90",202021
159,OMAN,"17,436.15",202021
160,PAKISTAN IR,"2,414.71",202021
161,PALAU,1.56,202021
162,PANAMA C Z,0.00,202021
163,PANAMA REPUBLIC,"1,122.39",202021
164,PAPUA N GNA,416.24,202021
165,PARAGUAY,"1,191.65",202021
166,PERU,"5,648.00",202021
167,PHILIPPINES,"10,790.60",202021
168,PITCAIRN IS.,0.87,202021
169,POLAND,"12,212.47",202021
170,PORTUGAL,"6,223.13",202021
171,PUERTO RICO,"1,154.22",202021
172,QATAR,"9,504.05",202021
173,REUNION,325.09,202021
174,ROMANIA,"2,746.62",202021
175,RUSSIA,"19,649.70",202021
176,RWANDA,994.73,202021
