S.No.,country,exp_inr_cr,year
177,SAHARWI A.DM RP,0.28,202021
178,SAMOA,20.00,202021
179,SAN MARINO,1.89,202021
180,SAO TOME,14.48,202021
181,SAUDI ARAB,"43,358.89",202021
182,SENEGAL,"5,159.79",202021
183,SERBIA,673.68,202021
184,SEYCHELLES,409.49,202021
185,SIERRA LEONE,"1,123.86",202021
186,SINGAPORE,"64,382.17",202021
187,SINT MAARTEN (DUTCH PART),0.01,202021
188,SLOVAK REP,"1,153.33",202021
189,SLOVENIA,"2,625.27",202021
190,SOLOMON IS,12.18,202021
191,SOMALIA,"4,104.82",202021
192,SOUTH AFRICA,"29,075.08",202021
193,SOUTH SUDAN,169.38,202021
194,SPAIN,"23,961.70",202021
195,SRI LANKA DSR,"25,857.29",202021
196,ST HELENA,1.26,202021
197,ST KITT N A,7.29,202021
198,ST LUCIA,25.10,202021
199,ST VINCENT,4.66,202021
200,STATE OF PALEST,14.65,202021
201,SUDAN,"7,566.01",202021
202,SURINAME,126.58,202021
203,SVALLBARD AND J,0.00,202021
204,SWAZILAND,180.72,202021
205,SWEDEN,"5,645.62",202021
206,SWITZERLAND,"9,340.61",202021
207,SYRIA,921.68,202021
208,TAIWAN,"12,006.49",202021
209,TAJIKISTAN,394.96,202021
210,TANZANIA REP,"10,644.21",202021
211,THAILAND,"31,300.62",202021
212,TIMOR LESTE,186.62,202021
213,TOGO,"11,393.61",202021
214,TOKELAU IS,0.00,202021
215,TONGA,6.25,202021
216,TRINIDAD,553.32,202021
217,TUNISIA,"1,957.45",202021
218,TURKEY,"29,231.84",202021
219,TURKMENISTAN,444.26,202021
220,TURKS C IS,0.92,202021
221,TUVALU,0.02,202021
222,U ARAB EMTS,"1,23,333.92",202021
223,U K,"60,244.90",202021
224,U S A,"3,81,844.53",202021
225,UGANDA,"4,968.14",202021
226,UKRAINE,"3,338.35",202021
227,UNION OF SERBIA & MONTENEGRO,0.00,202021
228,UNSPECIFIED,"5,433.38",202021
229,URUGUAY,774.29,202021
230,US MINOR OUTLYING ISLANDS,7.15,202021
231,UZBEKISTAN,"2,071.91",202021
232,VANUATU REP,16.66,202021
233,VATICAN CITY,0.49,202021
234,VENEZUELA,"4,124.90",202021
235,VIETNAM SOC REP,"37,034.86",202021
236,VIRGIN IS US,559.33,202021
237,WALLIS F IS,0.17,202021
238,YEMEN REPUBLC,"5,824.40",202021
239,ZAMBIA,"1,987.41",202021
240,ZIMBABWE,"1,304.99",202021
