S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"4,129.04",202122
2,ALBANIA,410.40,202122
3,ALGERIA,"5,238.01",202122
4,AMERI SAMOA,5.78,202122
5,ANDORRA,0.37,202122
6,ANGOLA,"3,377.98",202122
7,ANGUILLA,0.68,202122
8,ANTARTICA,0.56,202122
9,ANTIGUA,18.46,202122
10,ARGENTINA,"10,661.32",202122
11,ARMENIA,204.37,202122
12,ARUBA,46.39,202122
13,AUSTRALIA,"61,841.05",202122
14,AUSTRIA,"4,205.11",202122
15,AZERBAIJAN,271.49,202122
16,BAHAMAS,60.12,202122
17,BAHARAIN IS,"6,706.05",202122
18,BANGLADESH PR,"1,20,534.73",202122
19,BARBADOS,120.79,202122
20,BELARUS,486.83,202122
21,BELGIUM,"75,224.65",202122
22,BELIZE,113.82,202122
23,BENIN,"5,347.81",202122
24,BERMUDA,41.25,202122
25,BHUTAN,"6,604.59",202122
26,BOLIVIA,877.36,202122
27,BOSNIA-HRZGOVIN,126.79,202122
28,BOTSWANA,"2,077.36",202122
29,BR VIRGN IS,2.67,202122
30,BRAZIL,"48,349.56",202122
31,BRUNEI,321.69,202122
32,BULGARIA,"1,841.87",202122
33,BURKINA FASO,"1,465.52",202122
34,BURUNDI,450.52,202122
35,C AFRI REP,150.44,202122
36,CAMBODIA,"1,480.94",202122
37,CAMEROON,"3,009.37",202122
38,CANADA,"28,070.82",202122
39,CAPE VERDE IS,46.74,202122
40,CAYMAN IS,49.45,202122
41,CHAD,394.56,202122
42,CHILE,"8,807.88",202122
43,CHINA P RP,"1,58,215.48",202122
44,CHRISTMAS IS.,0.0000,202122
45,COCOS IS,0.00,202122
46,COLOMBIA,"10,266.58",202122
47,COMOROS,172.07,202122
48,CONGO D. REP.,"4,234.30",202122
49,CONGO P REP,"1,201.70",202122
50,COOK IS,0.30,202122
51,COSTA RICA,"1,099.68",202122
52,COTE D' IVOIRE,"5,428.91",202122
53,CROATIA,"3,700.28",202122
54,CUBA,197.20,202122
55,CYPRUS,"1,047.71",202122
56,CZECH REPUBLIC,"4,687.96",202122
57,DENMARK,"7,040.95",202122
58,DJIBOUTI,"5,319.49",202122
59,DOMINIC REP,"2,311.29",202122
60,DOMINICA,20.88,202122
61,ECUADOR,"2,273.81",202122
62,EGYPT A RP,"27,922.14",202122
63,EL SALVADOR,"1,206.84",202122
64,EQUTL GUINEA,92.67,202122
65,ERITREA,131.20,202122
66,ESTONIA,463.01,202122
67,ETHIOPIA,"5,076.83",202122
68,FALKLAND IS,0.0000,202122
69,FAROE IS.,2.00,202122
70,FIJI IS,432.54,202122
71,FINLAND,"2,566.89",202122
72,FR GUIANA,15.49,202122
73,FR POLYNESIA,68.78,202122
74,FRANCE,"49,605.10",202122
75,GABON,395.04,202122
76,GAMBIA,"1,140.77",202122
77,GEORGIA,"1,221.36",202122
78,GERMANY,"73,716.38",202122
79,GHANA,"8,269.36",202122
80,GIBRALTAR,"3,683.47",202122
81,GREECE,"8,052.77",202122
82,GREENLAND,10.36,202122
83,GRENADA,29.50,202122
84,GUADELOUPE,26.75,202122
85,GUAM,12.55,202122
86,GUATEMALA,"4,112.18",202122
87,GUERNSEY,0.00,202122
88,GUINEA,"4,182.60",202122
89,GUINEA BISSAU,79.08,202122
90,GUYANA,495.31,202122
91,HAITI,741.67,202122
92,HONDURAS,"2,368.71",202122
93,HONG KONG,"81,834.53",202122
94,HUNGARY,"4,106.12",202122
95,ICELAND,87.80,202122
96,INDONESIA,"63,196.50",202122
97,IRAN,"10,831.18",202122
98,IRAQ,"17,969.58",202122
99,IRELAND,"5,130.13",202122
100,ISRAEL,"35,770.46",202122
101,ITALY,"60,959.57",202122
102,JAMAICA,600.89,202122
103,JAPAN,"46,041.99",202122
104,JORDAN,"6,625.10",202122
105,KAZAKHSTAN,"1,756.48",202122
106,KENYA,"19,622.69",202122
107,KIRIBATI REP,12.23,202122
108,KOREA DP RP,2.53,202122
109,KOREA RP,"60,349.57",202122
110,KUWAIT,"9,263.88",202122
111,KYRGHYZSTAN,245.14,202122
112,LAO PD RP,109.11,202122
113,LATVIA,989.53,202122
114,LEBANON,"2,337.94",202122
115,LESOTHO,81.57,202122
116,LIBERIA,"1,843.85",202122
117,LIBYA,"1,789.19",202122
118,LIECHTENSTEIN,14.58,202122
119,LITHUANIA,"2,470.50",202122
120,LUXEMBOURG,108.56,202122
121,MACAO,89.38,202122
122,MACEDONIA,227.92,202122
123,MADAGASCAR,"2,620.10",202122
124,MALAWI,"1,121.58",202122
125,MALAYSIA,"52,123.57",202122
126,MALDIVES,"4,982.89",202122
127,MALI,"1,545.98",202122
128,MALTA,"3,568.92",202122
129,MARSHALL ISLAND,7.77,202122
130,MARTINIQUE,46.60,202122
131,MAURITANIA,722.57,202122
132,MAURITIUS,"5,325.93",202122
133,MAYOTTE,25.92,202122
134,MEXICO,"32,981.30",202122
135,MICRONESIA,4.58,202122
136,MOLDOVA,67.38,202122
137,MONACO,26.67,202122
138,MONGOLIA,193.58,202122
139,MONTENEGRO,162.12,202122
140,MONTSERRAT,0.62,202122
141,MOROCCO,"7,197.70",202122
142,MOZAMBIQUE,"14,732.26",202122
143,MYANMAR,"6,664.78",202122
144,N. MARIANA IS.,2.80,202122
145,NAMIBIA,"1,548.14",202122
146,NAURU RP,2.31,202122
147,NEPAL,"71,939.22",202122
148,NETHERLAND,"93,724.73",202122
149,NETHERLANDANTIL,221.36,202122
150,NEW CALEDONIA,140.72,202122
151,NEW ZEALAND,"3,633.74",202122
152,NICARAGUA,800.66,202122
153,NIGER,682.63,202122
154,NIGERIA,"34,745.13",202122
155,NIUE IS,0.00,202122
156,NORFOLK IS,1.33,202122
157,NORWAY,"2,830.16",202122
158,OMAN,"23,572.50",202122
159,PAKISTAN IR,"3,831.19",202122
160,PALAU,0.79,202122
161,PANAMA REPUBLIC,"2,589.60",202122
162,PAPUA N GNA,521.19,202122
163,PARAGUAY,"1,572.45",202122
164,PERU,"6,692.18",202122
165,PHILIPPINES,"15,710.64",202122
166,PITCAIRN IS.,0.00,202122
167,POLAND,"20,305.64",202122
168,PORTUGAL,"8,874.61",202122
169,PUERTO RICO,"2,077.58",202122
170,QATAR,"13,703.26",202122
171,REUNION,437.31,202122
172,ROMANIA,"4,415.58",202122
173,RUSSIA,"24,232.80",202122
174,RWANDA,953.65,202122
175,SAHARWI A.DM RP,0.11,202122
176,SAMOA,10.44,202122
177,SAN MARINO,2.14,202122
178,SAO TOME,15.45,202122
179,SAUDI ARAB,"65,310.14",202122
180,SENEGAL,"7,108.70",202122
181,SERBIA,670.03,202122
182,SEYCHELLES,335.25,202122
183,SIERRA LEONE,"1,331.52",202122
184,SINGAPORE,"83,012.95",202122
185,SINT MAARTEN (DUTCH PART),0.69,202122
186,SLOVAK REP,"1,275.44",202122
187,SLOVENIA,"3,688.69",202122
188,SOLOMON IS,13.80,202122
189,SOMALIA,"5,557.05",202122
190,SOUTH AFRICA,"45,353.11",202122
191,SOUTH SUDAN,200.54,202122
192,SPAIN,"35,244.00",202122
193,SRI LANKA DSR,"43,333.70",202122
194,ST HELENA,0.00,202122
195,ST KITT N A,19.43,202122
196,ST LUCIA,30.36,202122
197,ST VINCENT,6.30,202122
198,STATE OF PALEST,14.78,202122
199,SUDAN,"8,027.75",202122
200,SURINAME,129.56,202122
201,SWAZILAND,200.21,202122
202,SWEDEN,"7,724.88",202122
203,SWITZERLAND,"10,053.78",202122
204,SYRIA,785.50,202122
205,TAIWAN,"20,551.16",202122
206,TAJIKISTAN,264.05,202122
207,TANZANIA REP,"17,223.86",202122
208,THAILAND,"42,897.68",202122
209,TIMOR LESTE,194.25,202122
210,TOGO,"22,480.61",202122
211,TONGA,9.90,202122
212,TRINIDAD,695.86,202122
213,TUNISIA,"3,034.15",202122
214,TURKEY,"65,037.32",202122
215,TURKMENISTAN,775.68,202122
216,TURKS C IS,4.80,202122
217,TUVALU,1.62,202122
218,U ARAB EMTS,"2,09,158.28",202122
219,U K,"77,992.11",202122
220,U S A,"5,67,961.19",202122
221,UGANDA,"5,199.17",202122
222,UKRAINE,"3,517.51",202122
223,UNSPECIFIED,"9,707.01",202122
224,URUGUAY,"1,123.22",202122
225,US MINOR OUTLYING ISLANDS,2.46,202122
226,UZBEKISTAN,"2,023.06",202122
227,VANUATU REP,23.52,202122
228,VATICAN CITY,0.25,202122
229,VENEZUELA,"2,484.00",202122
230,VIETNAM SOC REP,"49,937.41",202122
231,VIRGIN IS US,31.95,202122
232,WALLIS F IS,0.04,202122
233,YEMEN REPUBLC,"6,329.19",202122
234,ZAMBIA,"2,539.57",202122
235,ZIMBABWE,"1,493.92",202122
