S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"3,494.98",202223
2,ALBANIA,"2,820.91",202223
3,ALGERIA,"4,934.77",202223
4,AMERI SAMOA,0.23,202223
5,ANDORRA,1.81,202223
6,ANGOLA,"4,991.69",202223
7,ANGUILLA,0.34,202223
8,ANTARTICA,0.84,202223
9,ANTIGUA,23.40,202223
10,ARGENTINA,"7,667.11",202223
11,ARMENIA,495.66,202223
12,ARUBA,118.13,202223
13,AUSTRALIA,"55,554.83",202223
14,AUSTRIA,"10,177.57",202223
15,AZERBAIJAN,813.73,202223
16,BAHAMAS,103.44,202223
17,BAHARAIN IS,"7,787.80",202223
18,BANGLADESH PR,"97,784.51",202223
19,BARBADOS,192.53,202223
20,BELARUS,351.92,202223
21,BELGIUM,"70,998.03",202223
22,BELIZE,128.37,202223
23,BENIN,"7,204.09",202223
24,BERMUDA,40.52,202223
25,BHUTAN,"8,662.58",202223
26,BOLIVIA,619.50,202223
27,BOSNIA-HRZGOVIN,138.86,202223
28,BOTSWANA,"1,352.25",202223
29,BR VIRGN IS,3.66,202223
30,BRAZIL,"79,606.84",202223
31,BRITISH INDIAN,0.0000,202223
32,BRUNEI,557.72,202223
33,BULGARIA,"1,700.58",202223
34,BURKINA FASO,"1,419.40",202223
35,BURUNDI,345.39,202223
36,C AFRI REP,165.83,202223
37,CAMBODIA,"1,770.43",202223
38,CAMEROON,"4,483.18",202223
39,CANADA,"32,938.97",202223
40,CAPE VERDE IS,36.00,202223
41,CAYMAN IS,45.66,202223
42,CHAD,463.03,202223
43,CHILE,"9,369.22",202223
44,CHINA P RP,"1,22,773.99",202223
45,CHRISTMAS IS.,0.00,202223
46,COCOS IS,0.0000,202223
47,COLOMBIA,"11,587.47",202223
48,COMOROS,322.89,202223
49,CONGO D. REP.,"5,066.00",202223
50,CONGO P REP,"1,437.41",202223
51,COOK IS,1.10,202223
52,COSTA RICA,"1,547.45",202223
53,COTE D' IVOIRE,"7,154.14",202223
54,CROATIA,"2,687.59",202223
55,CUBA,647.42,202223
56,CYPRUS,658.37,202223
57,CZECH REPUBLIC,"9,439.00",202223
58,DENMARK,"7,309.21",202223
