S.No.,country,exp_inr_cr,year
59,DJIBOUTI,"9,642.46",202223
60,DOMINIC REP,"2,641.87",202223
61,DOMINICA,23.18,202223
62,ECUADOR,"3,216.24",202223
63,EGYPT A RP,"33,123.44",202223
64,EL SALVADOR,"1,017.86",202223
65,EQUTL GUINEA,185.56,202223
66,ERITREA,146.07,202223
67,ESTONIA,567.60,202223
68,ETHIOPIA,"4,698.24",202223
69,FALKLAND IS,0.01,202223
70,FAROE IS.,2.89,202223
71,FIJI IS,643.89,202223
72,FINLAND,"4,279.60",202223
73,FR GUIANA,12.08,202223
74,FR POLYNESIA,81.54,202223
75,FRANCE,"61,048.59",202223
76,GABON,647.37,202223
77,GAMBIA,985.96,202223
78,GEORGIA,"2,131.95",202223
79,GERMANY,"81,396.91",202223
80,GHANA,"7,718.44",202223
81,GIBRALTAR,"3,613.29",202223
82,GREECE,"6,309.04",202223
83,GREENLAND,0.28,202223
84,GRENADA,31.20,202223
85,GUADELOUPE,27.15,202223
86,GUAM,5.17,202223
87,GUATEMALA,"3,737.49",202223
88,GUINEA,"5,063.61",202223
89,GUINEA BISSAU,79.53,202223
90,GUYANA,499.84,202223
91,HAITI,703.62,202223
92,HONDURAS,"2,190.84",202223
93,HONG KONG,"79,497.42",202223
94,HUNGARY,"4,625.27",202223
95,ICELAND,83.78,202223
96,INDONESIA,"80,335.18",202223
97,IRAN,"13,272.44",202223
98,IRAQ,"21,776.64",202223
99,IRELAND,"4,672.44",202223
100,ISRAEL,"68,274.25",202223
101,ITALY,"69,762.87",202223
102,JAMAICA,705.21,202223
103,JAPAN,"43,834.30",202223
104,JORDAN,"17,210.10",202223
105,KAZAKHSTAN,"3,499.40",202223
106,KENYA,"26,283.44",202223
107,KIRIBATI REP,12.20,202223
108,KOREA DP RP,13.72,202223
109,KOREA RP,"53,275.35",202223
110,KUWAIT,"12,554.83",202223
111,KYRGHYZSTAN,422.12,202223
112,LAO PD RP,136.60,202223
113,LATVIA,"1,511.26",202223
114,LEBANON,"3,229.00",202223
115,LESOTHO,119.31,202223
116,LIBERIA,"2,081.99",202223
117,LIBYA,"2,729.68",202223
118,LIECHTENSTEIN,2.42,202223
119,LITHUANIA,"2,849.08",202223
120,LUXEMBOURG,334.86,202223
121,MACAO,35.21,202223
122,MACEDONIA,224.88,202223
123,MADAGASCAR,"4,254.95",202223
124,MALAWI,922.76,202223
125,MALAYSIA,"57,265.17",202223
126,MALDIVES,"3,835.17",202223
127,MALI,"1,066.29",202223
128,MALTA,"2,481.32",202223
129,MARSHALL ISLAND,3.84,202223
130,MARTINIQUE,41.32,202223
131,MAURITANIA,"1,181.09",202223
132,MAURITIUS,"3,720.09",202223
133,MAYOTTE,45.11,202223
134,MEXICO,"41,693.32",202223
135,MICRONESIA,4.75,202223
136,MOLDOVA,96.47,202223
137,MONACO,22.18,202223
138,MONGOLIA,273.22,202223
139,MONTENEGRO,229.06,202223
140,MONTSERRAT,1.19,202223
141,MOROCCO,"8,427.05",202223
142,MOZAMBIQUE,"20,123.68",202223
143,MYANMAR,"6,503.23",202223
144,N. MARIANA IS.,1.42,202223
145,NAMIBIA,"1,912.59",202223
146,NAURU RP,2.46,202223
147,NEPAL,"64,773.20",202223
148,NETHERLAND,"1,74,409.18",202223
149,NETHERLANDANTIL,249.21,202223
150,NEW CALEDONIA,148.01,202223
151,NEW ZEALAND,"4,382.64",202223
152,NICARAGUA,870.98,202223
153,NIGER,675.50,202223
154,NIGERIA,"41,374.00",202223
155,NIUE IS,0.0000,202223
156,NORFOLK IS,0.16,202223
157,NORWAY,"4,565.33",202223
158,OMAN,"35,894.58",202223
159,PACIFIC IS,0.0001,202223
160,PAKISTAN IR,"5,019.74",202223
161,PALAU,1.81,202223
162,PANAMA REPUBLIC,"2,524.43",202223
163,PAPUA N GNA,689.54,202223
164,PARAGUAY,"1,258.30",202223
165,PERU,"6,955.97",202223
166,PHILIPPINES,"16,800.70",202223
167,PITCAIRN IS.,0.0000,202223
168,POLAND,"18,622.85",202223
169,PORTUGAL,"8,088.34",202223
170,PUERTO RICO,"2,138.53",202223
171,QATAR,"15,801.00",202223
172,REUNION,380.17,202223
173,ROMANIA,"5,970.24",202223
174,RUSSIA,"25,462.70",202223
175,RWANDA,"1,154.60",202223
176,SAHARWI A.DM RP,0.24,202223
177,SAMOA,9.81,202223
178,SAN MARINO,3.73,202223
179,SAO TOME,12.18,202223
180,SAUDI ARAB,"86,271.37",202223
181,SENEGAL,"9,114.53",202223
182,SERBIA,664.15,202223
183,SEYCHELLES,521.45,202223
184,SIERRA LEONE,"1,914.21",202223
185,SINGAPORE,"96,184.96",202223
186,SINT MAARTEN (DUTCH PART),0.09,202223
187,SLOVAK REP,"1,528.52",202223
188,SLOVENIA,"4,914.01",202223
189,SOLOMON IS,21.58,202223
190,SOMALIA,"7,612.48",202223
191,SOUTH AFRICA,"67,873.23",202223
192,SOUTH SUDAN,261.50,202223
193,SPAIN,"37,410.07",202223
194,SRI LANKA DSR,"40,922.67",202223
195,ST HELENA,0.0000,202223
196,ST KITT N A,21.19,202223
197,ST LUCIA,41.33,202223
198,ST VINCENT,9.55,202223
199,STATE OF PALEST,21.51,202223
200,SUDAN,"14,692.48",202223
201,SURINAME,98.66,202223
202,SWAZILAND,118.85,202223
203,SWEDEN,"7,720.58",202223
204,SWITZERLAND,"10,813.04",202223
205,SYRIA,835.54,202223
206,TAIWAN,"21,106.64",202223
207,TAJIKISTAN,396.10,202223
208,TANZANIA REP,"31,578.54",202223
209,THAILAND,"45,810.07",202223
210,TIMOR LESTE,285.70,202223
211,TOGO,"48,510.39",202223
212,TONGA,11.65,202223
213,TRINIDAD,841.35,202223
214,TUNISIA,"3,395.34",202223
215,TURKEY,"77,260.43",202223
216,TURKMENISTAN,719.70,202223
217,TURKS C IS,14.17,202223
218,TUVALU,2.01,202223
219,U ARAB EMTS,"2,53,852.38",202223
220,U K,"91,715.01",202223
221,U S A,"6,30,151.51",202223
222,UGANDA,"4,495.47",202223
223,UKRAINE,"1,065.02",202223
224,UNSPECIFIED,"24,482.54",202223
225,URUGUAY,"1,244.83",202223
226,US MINOR OUTLYING ISLANDS,0.92,202223
227,UZBEKISTAN,"2,279.24",202223
228,VANUATU REP,27.17,202223
229,VATICAN CITY,1.28,202223
230,VENEZUELA,"1,423.70",202223
231,VIETNAM SOC REP,"47,543.43",202223
232,VIRGIN IS US,61.47,202223
233,WALLIS F IS,0.01,202223
234,YEMEN REPUBLC,"7,996.48",202223
235,ZAMBIA,"2,246.33",202223
236,ZIMBABWE,"1,258.62",202223
