S.No.,country,exp_inr_cr,year
106,JORDAN,"3,478.43",201718
107,KAZAKHSTAN,807.92,201718
108,KENYA,"12,724.49",201718
109,KIRIBATI REP,3.55,201718
110,KOREA DP RP,372.19,201718
111,KOREA RP,"28,751.44",201718
112,KUWAIT,"8,803.76",201718
113,KYRGHYZSTAN,184.27,201718
114,LAO PD RP,161.16,201718
115,LATVIA,722.91,201718
116,LEBANON,"1,657.05",201718
117,LESOTHO,203.34,201718
118,LIBERIA,"1,658.16",201718
119,LIBYA,786.56,201718
120,LIECHTENSTEIN,17.98,201718
121,LITHUANIA,669.39,201718
122,LUXEMBOURG,73.43,201718
123,MACAO,89.45,201718
124,MACEDONIA,112.06,201718
125,MADAGASCAR,"1,469.07",201718
126,MALAWI,"1,286.50",201718
127,MALAYSIA,"36,738.21",201718
128,MALDIVES,"1,398.66",201718
129,MALI,796.44,201718
130,MALTA,"1,262.41",201718
131,MARSHALL ISLAND,90.13,201718
132,MARTINIQUE,28.54,201718
133,MAURITANIA,536.75,201718
134,MAURITIUS,"6,946.61",201718
135,MAYOTTE,0.48,201718
136,MEXICO,"24,384.32",201718
137,MICRONESIA,1.92,201718
138,MOLDOVA,46.04,201718
139,MONACO,12.53,201718
140,MONGOLIA,132.06,201718
141,MONTENEGRO,332.50,201718
142,MONTSERRAT,0.15,201718
143,MOROCCO,"2,789.13",201718
144,MOZAMBIQUE,"5,805.75",201718
145,MYANMAR,"6,227.06",201718
146,N. MARIANA IS.,0.26,201718
147,NAMIBIA,282.93,201718
148,NAURU RP,8.78,201718
149,NEPAL,"42,623.68",201718
150,NETHERLAND,"40,343.97",201718
151,NETHERLANDANTIL,248.48,201718
152,NEW CALEDONIA,66.04,201718
153,NEW ZEALAND,"2,274.55",201718
154,NICARAGUA,562.78,201718
155,NIGER,774.53,201718
156,NIGERIA,"14,535.26",201718
157,NORFOLK IS,2.48,201718
158,NORWAY,"2,323.16",201718
159,OMAN,"15,719.38",201718
160,PAKISTAN IR,"12,397.11",201718
161,PALAU,0.42,201718
162,PANAMA C Z,0.06,201718
163,PANAMA REPUBLIC,"1,462.95",201718
164,PAPUA N GNA,270.38,201718
165,PARAGUAY,"1,086.13",201718
166,PERU,"4,903.73",201718
167,PHILIPPINES,"10,910.41",201718
168,PITCAIRN IS.,0.04,201718
169,POLAND,"9,934.39",201718
170,PORTUGAL,"4,817.60",201718
171,PUERTO RICO,503.04,201718
172,QATAR,"9,487.72",201718
173,REUNION,298.99,201718
174,ROMANIA,"2,571.66",201718
175,RUSSIA,"13,622.02",201718
176,RWANDA,584.06,201718
177,SAHARWI A.DM RP,0.08,201718
178,SAMOA,15.48,201718
179,SAN MARINO,0.89,201718
180,SAO TOME,5.74,201718
181,SAUDI ARAB,"34,867.98",201718
182,SENEGAL,"4,668.41",201718
183,SERBIA,380.55,201718
184,SEYCHELLES,271.26,201718
185,SIERRA LEONE,602.20,201718
186,SINGAPORE,"65,789.31",201718
187,SINT MAARTEN (DUTCH PART),0.05,201718
188,SLOVAK REP,982.62,201718
189,SLOVENIA,"1,831.88",201718
190,SOLOMON IS,8.24,201718
191,SOMALIA,"2,934.86",201718
192,SOUTH AFRICA,"24,659.80",201718
193,SOUTH SUDAN,22.80,201718
194,SPAIN,"25,752.84",201718
195,SRI LANKA DSR,"28,869.71",201718
196,ST HELENA,0.04,201718
197,ST KITT N A,18.52,201718
198,ST LUCIA,26.17,201718
199,ST PIERRE,0.07,201718
200,ST VINCENT,4.42,201718
201,STATE OF PALEST,0.10,201718
202,SUDAN,"5,302.59",201718
203,SURINAME,111.97,201718
204,SWAZILAND,210.78,201718
205,SWEDEN,"4,972.37",201718
206,SWITZERLAND,"6,986.98",201718
207,SYRIA,988.52,201718
208,TAIWAN,"13,899.31",201718
209,TAJIKISTAN,154.34,201718
210,TANZANIA REP,"10,440.00",201718
211,THAILAND,"23,551.30",201718
212,TIMOR LESTE,21.39,201718
213,TOGO,"2,638.60",201718
214,TOKELAU IS,0.00,201718
215,TONGA,8.09,201718
216,TRINIDAD,571.70,201718
217,TUNISIA,"1,816.50",201718
218,TURKEY,"32,814.80",201718
219,TURKMENISTAN,350.47,201718
220,TURKS C IS,7.37,201718
221,TUVALU,0.40,201718
222,U ARAB EMTS,"1,81,456.93",201718
223,U K,"62,431.40",201718
224,U S A,"3,08,602.69",201718
225,UGANDA,"3,430.72",201718
226,UKRAINE,"2,128.14",201718
227,UNION OF SERBIA & MONTENEGRO,0.01,201718
228,UNSPECIFIED,"15,661.95",201718
229,URUGUAY,"1,027.73",201718
230,US MINOR OUTLYING ISLANDS,3.37,201718
231,UZBEKISTAN,855.99,201718
232,VANUATU REP,14.64,201718
233,VATICAN CITY,0.74,201718
234,VENEZUELA,510.53,201718
235,VIETNAM SOC REP,"50,388.38",201718
236,VIRGIN IS US,18.54,201718
237,WALLIS F IS,0.33,201718
238,YEMEN REPUBLC,"3,632.04",201718
239,ZAMBIA,"1,897.58",201718
240,ZIMBABWE,"1,054.63",201718
