S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"4,576.89",201718
2,ALBANIA,189.00,201718
3,ALGERIA,"5,306.92",201718
4,AMERI SAMOA,2.00,201718
5,ANDORRA,30.76,201718
6,ANGOLA,"1,513.61",201718
7,ANGUILLA,3.24,201718
8,ANTARTICA,0.65,201718
9,ANTIGUA,13.95,201718
10,ARGENTINA,"4,567.03",201718
11,ARMENIA,214.62,201718
12,ARUBA,41.53,201718
13,AUSTRALIA,"25,856.52",201718
14,AUSTRIA,"2,964.73",201718
15,AZERBAIJAN,217.14,201718
16,BAHAMAS,52.04,201718
17,BAHARAIN IS,"3,588.85",201718
18,BANGLADESH PR,"55,536.99",201718
19,BARBADOS,82.17,201718
20,BELARUS,306.90,201718
21,BELGIUM,"40,007.25",201718
22,BELIZE,86.84,201718
23,BENIN,"3,089.26",201718
24,BERMUDA,20.08,201718
25,BHUTAN,"3,520.02",201718
26,BOLIVIA,678.57,201718
27,BOSNIA-HRZGOVIN,99.14,201718
28,BOTSWANA,698.40,201718
29,BR VIRGN IS,4.92,201718
30,BRAZIL,"19,747.31",201718
31,BRUNEI,407.13,201718
32,BULGARIA,"1,116.77",201718
33,BURKINA FASO,956.53,201718
34,BURUNDI,245.46,201718
35,C AFRI REP,192.51,201718
36,CAMBODIA,782.93,201718
37,CAMEROON,"1,250.15",201718
38,CANADA,"16,153.54",201718
39,CAPE VERDE IS,9.53,201718
40,CAYMAN IS,25.94,201718
41,CHAD,175.98,201718
42,CHILE,"4,921.91",201718
43,CHINA P RP,"85,994.30",201718
44,COLOMBIA,"6,054.15",201718
45,COMOROS,191.57,201718
46,CONGO D. REP.,"1,450.82",201718
47,CONGO P REP,752.22,201718
48,COOK IS,1.15,201718
49,COSTA RICA,860.51,201718
50,COTE D' IVOIRE,"3,297.74",201718
51,CROATIA,"1,087.04",201718
52,CUBA,269.51,201718
53,CURACAO,0.00,201718
54,CYPRUS,646.29,201718
55,CZECH REPUBLIC,"2,612.95",201718
56,DENMARK,"5,052.71",201718
57,DJIBOUTI,"2,422.20",201718
58,DOMINIC REP,"1,268.69",201718
59,DOMINICA,13.60,201718
60,ECUADOR,"1,804.23",201718
61,EGYPT A RP,"15,420.54",201718
62,EL SALVADOR,447.80,201718
63,EQUTL GUINEA,69.49,201718
64,ERITREA,47.91,201718
65,ESTONIA,517.71,201718
66,ETHIOPIA,"4,409.40",201718
67,FALKLAND IS,0.00,201718
68,FAROE IS.,1.93,201718
69,FIJI IS,349.75,201718
70,FINLAND,"1,821.26",201718
71,FR GUIANA,14.08,201718
72,FR POLYNESIA,40.98,201718
73,FRANCE,"31,586.10",201718
74,GABON,290.72,201718
75,GAMBIA,775.22,201718
76,GEORGIA,497.74,201718
77,GERMANY,"55,993.63",201718
78,GHANA,"4,098.02",201718
79,GIBRALTAR,"1,878.44",201718
80,GREECE,"2,795.22",201718
81,GREENLAND,0.05,201718
82,GRENADA,17.00,201718
83,GUADELOUPE,34.48,201718
84,GUAM,5.68,201718
85,GUATEMALA,"1,882.19",201718
86,GUERNSEY,0.20,201718
87,GUINEA,"2,436.47",201718
88,GUINEA BISSAU,68.85,201718
89,GUYANA,167.79,201718
90,HAITI,605.85,201718
91,HEARD MACDONALD,0.24,201718
92,HONDURAS,942.51,201718
93,HONG KONG,"94,677.35",201718
94,HUNGARY,"2,595.49",201718
95,ICELAND,38.02,201718
96,INDONESIA,"25,561.76",201718
97,INSTALLATIONS IN INTERNATIONAL WATERS,224.01,201718
98,IRAN,"17,093.71",201718
99,IRAQ,"9,422.65",201718
100,IRELAND,"3,455.02",201718
101,ISRAEL,"21,687.36",201718
102,ITALY,"36,806.07",201718
103,JAMAICA,336.84,201718
104,JAPAN,"30,505.99",201718
105,JERSEY,0.01,201718
