S.No.,country,exp_inr_cr,year
175,RUSSIA,"16,726.79",201819
176,RWANDA,"1,018.83",201819
177,SAHARWI A.DM RP,0.02,201819
178,SAMOA,18.15,201819
179,SAN MARINO,1.07,201819
180,SAO TOME,8.27,201819
181,SAUDI ARAB,"38,854.24",201819
182,SENEGAL,"4,460.81",201819
183,SERBIA,506.58,201819
184,SEYCHELLES,586.33,201819
185,SIERRA LEONE,783.16,201819
186,SINGAPORE,"80,942.25",201819
187,SINT MAARTEN (DUTCH PART),0.00,201819
188,SLOVAK REP,"1,019.63",201819
189,SLOVENIA,"2,196.35",201819
190,SOLOMON IS,17.89,201819
191,SOMALIA,"3,772.08",201819
192,SOUTH AFRICA,"28,333.97",201819
193,SOUTH SUDAN,73.59,201819
194,SPAIN,"29,217.28",201819
195,SRI LANKA DSR,"32,996.21",201819
196,ST HELENA,0.11,201819
197,ST KITT N A,16.67,201819
198,ST LUCIA,27.82,201819
199,ST PIERRE,0.10,201819
200,ST VINCENT,5.13,201819
201,STATE OF PALEST,10.39,201819
202,SUDAN,"6,434.54",201819
203,SURINAME,157.34,201819
204,SWAZILAND,133.48,201819
205,SWEDEN,"5,534.90",201819
206,SWITZERLAND,"8,291.77",201819
207,SYRIA,"1,080.92",201819
208,TAIWAN,"18,517.78",201819
209,TAJIKISTAN,156.28,201819
210,TANZANIA REP,"11,924.60",201819
211,THAILAND,"31,106.07",201819
212,TIMOR LESTE,36.86,201819
213,TOGO,"4,871.00",201819
214,TOKELAU IS,0.0000,201819
215,TONGA,2.43,201819
216,TRINIDAD,584.65,201819
217,TUNISIA,"2,126.54",201819
218,TURKEY,"38,059.12",201819
219,TURKMENISTAN,320.45,201819
220,TURKS C IS,1.83,201819
221,TUVALU,0.01,201819
222,U ARAB EMTS,"2,10,210.93",201819
223,U K,"65,104.80",201819
224,U S A,"3,66,480.39",201819
225,UGANDA,"4,057.83",201819
226,UKRAINE,"2,736.03",201819
227,UNION OF SERBIA & MONTENEGRO,0.00,201819
228,UNSPECIFIED,"20,329.44",201819
229,URUGUAY,"1,268.14",201819
230,US MINOR OUTLYING ISLANDS,4.61,201819
231,UZBEKISTAN,"1,416.56",201819
232,VANUATU REP,13.86,201819
233,VATICAN CITY,0.20,201819
234,VENEZUELA,"1,154.05",201819
235,VIETNAM SOC REP,"45,409.70",201819
236,VIRGIN IS US,300.40,201819
237,WALLIS F IS,0.00,201819
238,YEMEN REPUBLC,"5,169.24",201819
239,ZAMBIA,"2,237.82",201819
240,ZIMBABWE,"1,268.82",201819
