S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"2,942.71",202324
2,ALBANIA,"9,555.74",202324
3,ALGERIA,"7,025.38",202324
4,AMERI SAMOA,34.40,202324
5,ANDORRA,2.62,202324
6,ANGOLA,"5,783.04",202324
7,ANGUILLA,2.20,202324
8,ANTARTICA,2.15,202324
9,ANTIGUA,123.42,202324
10,ARGENTINA,"8,990.52",202324
11,ARMENIA,781.29,202324
12,ARUBA,122.32,202324
13,AUSTRALIA,"65,667.64",202324
14,AUSTRIA,"9,412.51",202324
15,AZERBAIJAN,742.90,202324
16,BAHAMAS,883.48,202324
17,BAHARAIN IS,"7,541.73",202324
18,BANGLADESH PR,"91,651.98",202324
19,BARBADOS,155.95,202324
20,BELARUS,362.88,202324
21,BELGIUM,"64,862.26",202324
22,BELIZE,111.46,202324
23,BENIN,"6,215.82",202324
24,BERMUDA,50.38,202324
25,BHUTAN,"7,979.94",202324
26,BOLIVIA,590.66,202324
27,BOSNIA-HRZGOVIN,242.17,202324
28,BOTSWANA,904.21,202324
29,BR VIRGN IS,5.29,202324
30,BRAZIL,"49,809.13",202324
31,BRITISH INDIAN,0.00,202324
32,BRUNEI,558.00,202324
33,BULGARIA,"1,851.87",202324
34,BURKINA FASO,999.83,202324
35,BURUNDI,318.05,202324
36,C AFRI REP,540.03,202324
37,CAMBODIA,"1,534.34",202324
38,CAMEROON,"3,759.87",202324
39,CANADA,"31,836.85",202324
40,CAPE VERDE IS,26.12,202324
41,CAYMAN IS,59.00,202324
42,CHAD,661.95,202324
43,CHILE,"9,794.60",202324
44,CHINA P RP,"1,37,966.45",202324
45,CHRISTMAS IS.,0.0000,202324
46,COCOS IS,0.11,202324
47,COLOMBIA,"10,091.30",202324
48,COMOROS,231.62,202324
49,CONGO D. REP.,"4,804.53",202324
50,CONGO P REP,"1,458.15",202324
51,COOK IS,1.90,202324
52,COSTA RICA,"1,521.45",202324
53,COTE D' IVOIRE,"5,673.30",202324
54,CROATIA,"1,931.48",202324
55,CUBA,332.89,202324
56,CYPRUS,785.85,202324
57,CZECH REPUBLIC,"11,511.36",202324
58,DENMARK,"7,089.25",202324
59,DJIBOUTI,"9,475.93",202324
60,DOMINIC REP,"2,872.32",202324
61,DOMINICA,20.92,202324
62,ECUADOR,"3,803.82",202324
63,EGYPT A RP,"29,156.88",202324
64,EL SALVADOR,"1,067.31",202324
65,EQUTL GUINEA,221.91,202324
66,ERITREA,83.24,202324
67,ESTONIA,640.38,202324
68,ETHIOPIA,"4,051.94",202324
