S.No.,country,exp_inr_cr,year
69,FALKLAND IS,0.00,202324
70,FAROE IS.,49.17,202324
71,FIJI IS,631.54,202324
72,FINLAND,"4,825.63",202324
73,FR GUIANA,12.18,202324
74,FR POLYNESIA,99.31,202324
75,FRANCE,"59,124.06",202324
76,GABON,601.26,202324
77,GAMBIA,"1,454.49",202324
78,GEORGIA,"1,633.77",202324
79,GERMANY,"81,459.44",202324
80,GHANA,"9,103.44",202324
81,GIBRALTAR,"6,884.64",202324
82,GREECE,"8,735.60",202324
83,GREENLAND,1.89,202324
84,GRENADA,36.47,202324
85,GUADELOUPE,38.20,202324
86,GUAM,7.00,202324
87,GUATEMALA,"4,628.99",202324
88,GUINEA,"5,764.27",202324
89,GUINEA BISSAU,57.82,202324
90,GUYANA,823.35,202324
91,HAITI,874.02,202324
92,HONDURAS,"2,201.43",202324
93,HONG KONG,"68,299.15",202324
94,HUNGARY,"4,647.69",202324
95,ICELAND,100.64,202324
96,INDONESIA,"49,515.17",202324
97,IRAN,"10,117.29",202324
98,IRAQ,"27,766.76",202324
99,IRELAND,"5,820.90",202324
100,ISRAEL,"37,482.05",202324
101,ITALY,"72,553.14",202324
102,JAMAICA,903.77,202324
103,JAPAN,"42,693.23",202324
104,JERSEY,0.0000,202324
105,JORDAN,"12,128.62",202324
106,KAZAKHSTAN,"1,959.29",202324
107,KENYA,"26,312.95",202324
108,KIRIBATI REP,8.58,202324
109,KOREA DP RP,17.00,202324
110,KOREA RP,"53,114.99",202324
111,KUWAIT,"17,430.93",202324
112,KYRGHYZSTAN,378.47,202324
113,LAO PD RP,106.59,202324
114,LATVIA,"1,825.14",202324
115,LEBANON,"2,854.47",202324
116,LESOTHO,46.09,202324
117,LIBERIA,"2,015.41",202324
118,LIBYA,"4,683.21",202324
119,LIECHTENSTEIN,7.30,202324
120,LITHUANIA,"2,604.45",202324
121,LUXEMBOURG,328.07,202324
122,MACAO,7.95,202324
123,MACEDONIA,303.39,202324
124,MADAGASCAR,"1,918.65",202324
125,MALAWI,722.17,202324
126,MALAYSIA,"60,165.59",202324
127,MALDIVES,"7,387.44",202324
128,MALI,990.89,202324
129,MALTA,"4,114.47",202324
130,MARSHALL ISLAND,18.16,202324
131,MARTINIQUE,38.03,202324
132,MAURITANIA,798.08,202324
133,MAURITIUS,"6,453.86",202324
134,MAYOTTE,62.71,202324
135,MEXICO,"44,084.59",202324
136,MICRONESIA,5.13,202324
137,MOLDOVA,103.57,202324
138,MONACO,19.54,202324
139,MONGOLIA,274.52,202324
140,MONTENEGRO,289.05,202324
141,MONTSERRAT,1.01,202324
142,MOROCCO,"8,550.28",202324
143,MOZAMBIQUE,"16,504.60",202324
144,MYANMAR,"5,549.01",202324
145,N. MARIANA IS.,2.54,202324
146,NAMIBIA,"3,760.22",202324
147,NAURU RP,0.70,202324
148,NEPAL,"58,274.88",202324
149,NETHERLAND,"1,85,260.11",202324
150,NETHERLANDANTIL,177.35,202324
151,NEW CALEDONIA,127.56,202324
152,NEW ZEALAND,"4,456.52",202324
153,NICARAGUA,"1,095.73",202324
154,NIGER,389.92,202324
155,NIGERIA,"29,997.23",202324
156,NIUE IS,0.00,202324
157,NORFOLK IS,0.15,202324
158,NORWAY,"3,335.73",202324
159,OMAN,"36,665.04",202324
160,PACIFIC IS,0.00,202324
161,PAKISTAN IR,"9,863.18",202324
162,PALAU,1.21,202324
163,PANAMA REPUBLIC,"2,453.07",202324
164,PAPUA N GNA,580.30,202324
165,PARAGUAY,"1,756.53",202324
166,PERU,"7,616.64",202324
167,PHILIPPINES,"17,365.20",202324
168,PITCAIRN IS.,0.01,202324
169,POLAND,"20,166.68",202324
170,PORTUGAL,"9,802.19",202324
171,PUERTO RICO,"1,162.40",202324
172,QATAR,"14,079.73",202324
173,REUNION,375.23,202324
174,ROMANIA,"14,727.50",202324
175,RUSSIA,"35,288.03",202324
176,RWANDA,"1,104.70",202324
177,SAHARWI A.DM RP,0.55,202324
178,SAMOA,15.91,202324
179,SAN MARINO,4.30,202324
180,SAO TOME,12.68,202324
181,SAUDI ARAB,"95,714.47",202324
182,SENEGAL,"7,760.52",202324
183,SERBIA,884.82,202324
184,SEYCHELLES,630.89,202324
185,SIERRA LEONE,"2,215.77",202324
186,SINGAPORE,"1,19,392.42",202324
187,SINT MAARTEN (DUTCH PART),3.75,202324
188,SLOVAK REP,"1,597.83",202324
189,SLOVENIA,"4,858.71",202324
190,SOLOMON IS,24.76,202324
191,SOMALIA,"6,790.01",202324
192,SOUTH AFRICA,"72,086.58",202324
193,SOUTH SUDAN,345.42,202324
194,SPAIN,"39,675.18",202324
195,SRI LANKA DSR,"34,109.82",202324
196,ST HELENA,0.00,202324
197,ST KITT N A,41.36,202324
198,ST LUCIA,60.18,202324
199,ST VINCENT,19.73,202324
200,STATE OF PALEST,5.35,202324
201,SUDAN,"6,663.39",202324
202,SURINAME,241.86,202324
203,SVALLBARD AND J,0.0000,202324
204,SWAZILAND,205.13,202324
205,SWEDEN,"8,436.14",202324
206,SWITZERLAND,"12,638.04",202324
207,SYRIA,522.71,202324
208,TAIWAN,"15,236.01",202324
209,TAJIKISTAN,426.84,202324
210,TANZANIA REP,"38,264.30",202324
211,THAILAND,"41,721.72",202324
212,TIMOR LESTE,397.14,202324
213,TOGO,"26,736.22",202324
214,TONGA,13.15,202324
215,TRINIDAD,902.64,202324
216,TUNISIA,"3,637.78",202324
217,TURKEY,"55,059.80",202324
218,TURKMENISTAN,309.82,202324
219,TURKS C IS,9.15,202324
220,TUVALU,0.88,202324
221,U ARAB EMTS,"2,95,094.37",202324
222,U K,"1,06,964.05",202324
223,U S A,"6,41,766.35",202324
224,UGANDA,"4,205.33",202324
225,UKRAINE,"1,434.66",202324
226,UNSPECIFIED,"24,726.22",202324
227,URUGUAY,"4,326.83",202324
228,US MINOR OUTLYING ISLANDS,2.49,202324
229,UZBEKISTAN,"3,085.90",202324
230,VANUATU REP,32.42,202324
231,VATICAN CITY,0.75,202324
232,VENEZUELA,"1,451.25",202324
233,VIETNAM SOC REP,"45,288.48",202324
234,VIRGIN IS US,48.31,202324
235,WALLIS F IS,0.00,202324
236,YEMEN REPUBLC,"7,256.49",202324
237,ZAMBIA,"2,022.79",202324
238,ZIMBABWE,"1,261.69",202324
