S.No.,country,exp_inr_cr,year
175,ROMANIA,"8,768.75",202425
176,RUSSIA,"41,242.64",202425
177,RWANDA,834.64,202425
178,SAHARWI A.DM RP,0.24,202425
179,SAMOA,14.42,202425
180,SAN MARINO,30.04,202425
181,SAO TOME,12.48,202425
182,SAUDI ARAB,"99,504.07",202425
183,SENEGAL,"8,467.02",202425
184,SERBIA,846.96,202425
185,SEYCHELLES,"1,678.09",202425
186,SIERRA LEONE,"3,265.59",202425
187,SINGAPORE,"1,09,524.74",202425
188,SINT MAARTEN (DUTCH PART),5.64,202425
189,SLOVAK REP,"3,223.75",202425
190,SLOVENIA,"4,970.38",202425
191,SOLOMON IS,21.59,202425
192,SOMALIA,"6,486.68",202425
193,SOUTH AFRICA,"63,016.73",202425
194,SOUTH SUDAN,179.99,202425
195,SPAIN,"40,316.28",202425
196,SRI LANKA DSR,"38,502.95",202425
197,ST HELENA,1.07,202425
198,ST KITT N A,23.08,202425
199,ST LUCIA,86.34,202425
200,ST VINCENT,27.73,202425
201,STATE OF PALEST,0.18,202425
202,SUDAN,"4,992.62",202425
203,SURINAME,242.39,202425
204,SVALLBARD AND J,0.00,202425
205,SWAZILAND,155.82,202425
206,SWEDEN,"10,682.64",202425
207,SWITZERLAND,"12,454.67",202425
208,SYRIA,538.06,202425
209,TAIWAN,"15,071.32",202425
210,TAJIKISTAN,387.50,202425
211,TANZANIA REP,"40,526.98",202425
212,THAILAND,"40,722.50",202425
213,TIMOR LESTE,324.38,202425
214,TOGO,"21,326.10",202425
215,TOKELAU IS,0.0000,202425
216,TONGA,9.69,202425
217,TRINIDAD,"1,019.79",202425
218,TUNISIA,"3,203.09",202425
219,TURKEY,"48,325.63",202425
220,TURKMENISTAN,459.43,202425
221,TURKS C IS,14.49,202425
222,TUVALU,0.10,202425
223,U ARAB EMTS,"3,10,049.98",202425
224,U K,"1,23,055.21",202425
225,U S A,"7,32,948.39",202425
226,UGANDA,"3,812.49",202425
227,UKRAINE,"1,587.72",202425
228,UNSPECIFIED,"30,317.65",202425
229,URUGUAY,"1,296.47",202425
230,US MINOR OUTLYING ISLANDS,4.99,202425
231,UZBEKISTAN,"4,380.56",202425
232,VANUATU REP,31.69,202425
233,VATICAN CITY,0.00,202425
234,VENEZUELA,"1,835.32",202425
235,VIETNAM SOC REP,"45,916.60",202425
236,VIRGIN IS US,40.13,202425
237,YEMEN REPUBLC,"7,247.82",202425
238,ZAMBIA,"1,794.16",202425
239,ZIMBABWE,"1,264.81",202425
