S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"2,695.63",202425
2,ALBANIA,656.48,202425
3,ALGERIA,"8,014.43",202425
4,AMERI SAMOA,20.74,202425
5,ANDORRA,2.23,202425
6,ANGOLA,"4,436.17",202425
7,ANGUILLA,1.80,202425
8,ANTARTICA,2.20,202425
9,ANTIGUA,40.11,202425
10,ARGENTINA,"8,631.99",202425
11,ARMENIA,"2,249.65",202425
12,ARUBA,100.09,202425
13,AUSTRALIA,"72,609.60",202425
14,AUSTRIA,"11,889.30",202425
15,AZERBAIJAN,793.73,202425
16,BAHAMAS,97.30,202425
17,BAHARAIN IS,"6,745.59",202425
18,BANGLADESH PR,"96,999.29",202425
19,BARBADOS,233.34,202425
20,BELARUS,586.19,202425
21,BELGIUM,"53,457.75",202425
22,BELIZE,111.56,202425
23,BENIN,"10,129.31",202425
24,BERMUDA,39.76,202425
25,BHUTAN,"10,696.94",202425
26,BOLIVIA,592.20,202425
27,BOSNIA-HRZGOVIN,146.95,202425
28,BOTSWANA,"1,465.38",202425
29,BR VIRGN IS,16.68,202425
30,BRAZIL,"57,218.77",202425
31,BRITISH INDIAN,0.0000,202425
32,BRUNEI,496.51,202425
33,BULGARIA,"1,951.89",202425
34,BURKINA FASO,"1,221.86",202425
35,BURUNDI,247.78,202425
36,C AFRI REP,100.43,202425
37,CAMBODIA,"1,703.32",202425
38,CAMEROON,"5,063.91",202425
39,CANADA,"35,726.43",202425
40,CAPE VERDE IS,30.44,202425
41,CAYMAN IS,"1,161.24",202425
42,CHAD,688.87,202425
43,CHILE,"9,764.14",202425
44,CHINA P RP,"1,20,616.44",202425
45,CHRISTMAS IS.,0.19,202425
46,COCOS IS,0.49,202425
47,COLOMBIA,"12,461.16",202425
48,COMOROS,312.95,202425
49,CONGO D. REP.,"4,763.24",202425
50,CONGO P REP,"1,511.78",202425
51,COOK IS,1.08,202425
52,COSTA RICA,"1,895.19",202425
53,COTE D' IVOIRE,"8,381.83",202425
54,CROATIA,"2,845.24",202425
55,CUBA,129.38,202425
56,CURACAO,0.0001,202425
57,CYPRUS,760.88,202425
58,CZECH REPUBLIC,"17,442.97",202425
59,DENMARK,"7,376.48",202425
60,DJIBOUTI,"5,724.44",202425
61,DOMINIC REP,"3,228.73",202425
62,DOMINICA,56.24,202425
63,ECUADOR,"2,683.80",202425
64,EGYPT A RP,"28,860.80",202425
65,EL SALVADOR,"1,260.73",202425
66,EQUTL GUINEA,162.21,202425
67,ERITREA,161.75,202425
68,ESTONIA,588.01,202425
69,ETHIOPIA,"4,042.17",202425
70,FALKLAND IS,0.0000,202425
71,FAROE IS.,107.06,202425
72,FIJI IS,715.75,202425
73,FINLAND,"3,989.16",202425
74,FR GUIANA,12.76,202425
75,FR POLYNESIA,105.95,202425
76,FRANCE,"67,291.63",202425
77,GABON,795.26,202425
78,GAMBIA,979.97,202425
79,GEORGIA,"2,447.15",202425
80,GERMANY,"89,167.85",202425
81,GHANA,"11,398.51",202425
82,GIBRALTAR,229.94,202425
83,GREECE,"8,941.18",202425
84,GREENLAND,0.27,202425
85,GRENADA,37.79,202425
86,GUADELOUPE,44.71,202425
87,GUAM,10.36,202425
88,GUATEMALA,"5,361.33",202425
89,GUERNSEY,0.0000,202425
90,GUINEA,"7,638.26",202425
91,GUINEA BISSAU,189.92,202425
92,GUYANA,784.65,202425
93,HAITI,752.99,202425
94,HONDURAS,"2,320.67",202425
95,HONG KONG,"51,346.07",202425
96,HUNGARY,"4,513.10",202425
97,ICELAND,571.40,202425
98,INDONESIA,"45,406.99",202425
99,INSTALLATIONS IN INTERNATIONAL WATERS,0.0000,202425
100,IRAN,"10,497.54",202425
101,IRAQ,"27,691.67",202425
102,IRELAND,"7,322.53",202425
103,ISRAEL,"18,169.78",202425
104,ITALY,"65,353.40",202425
105,JAMAICA,787.71,202425
106,JAPAN,"52,908.74",202425
107,JERSEY,0.00,202425
108,JORDAN,"6,392.53",202425
109,KAZAKHSTAN,"2,222.29",202425
110,KENYA,"26,550.82",202425
111,KIRIBATI REP,32.77,202425
112,KOREA DP RP,22.11,202425
113,KOREA RP,"49,234.59",202425
114,KUWAIT,"16,378.14",202425
115,KYRGHYZSTAN,391.84,202425
116,LAO PD RP,105.81,202425
117,LATVIA,"1,996.56",202425
118,LEBANON,"2,860.63",202425
119,LESOTHO,87.18,202425
120,LIBERIA,"3,186.09",202425
121,LIBYA,"5,502.60",202425
122,LIECHTENSTEIN,3.41,202425
123,LITHUANIA,"2,184.67",202425
124,LUXEMBOURG,421.22,202425
125,MACAO,11.92,202425
126,MACEDONIA,285.79,202425
127,MADAGASCAR,"2,276.81",202425
128,MALAWI,798.99,202425
129,MALAYSIA,"61,748.93",202425
130,MALDIVES,"4,742.78",202425
131,MALI,"1,087.98",202425
132,MALTA,"2,971.87",202425
133,MARSHALL ISLAND,23.73,202425
134,MARTINIQUE,40.82,202425
135,MAURITANIA,973.75,202425
136,MAURITIUS,"5,699.45",202425
137,MAYOTTE,63.89,202425
138,MEXICO,"48,593.28",202425
139,MICRONESIA,6.80,202425
140,MOLDOVA,88.05,202425
141,MONACO,59.27,202425
142,MONGOLIA,223.56,202425
143,MONTENEGRO,"1,051.51",202425
144,MONTSERRAT,1.04,202425
145,MOROCCO,"8,188.08",202425
146,MOZAMBIQUE,"11,162.51",202425
147,MYANMAR,"5,199.09",202425
148,N. MARIANA IS.,0.87,202425
149,NAMIBIA,"2,803.19",202425
150,NAURU RP,0.33,202425
151,NEPAL,"62,076.11",202425
152,NETHERLAND,"1,92,117.99",202425
153,NETHERLANDANTIL,184.21,202425
154,NEW CALEDONIA,49.15,202425
155,NEW ZEALAND,"6,026.38",202425
156,NICARAGUA,"1,348.68",202425
157,NIGER,614.95,202425
158,NIGERIA,"24,944.08",202425
159,NORFOLK IS,6.77,202425
160,NORWAY,"3,591.25",202425
161,OMAN,"34,395.52",202425
162,PAKISTAN IR,"4,720.12",202425
163,PALAU,2.06,202425
164,PANAMA REPUBLIC,"2,431.77",202425
165,PAPUA N GNA,595.55,202425
166,PARAGUAY,"1,523.54",202425
167,PERU,"8,485.35",202425
168,PHILIPPINES,"18,282.36",202425
169,PITCAIRN IS.,0.00,202425
170,POLAND,"22,163.00",202425
171,PORTUGAL,"7,783.97",202425
172,PUERTO RICO,"1,143.62",202425
173,QATAR,"14,233.73",202425
174,REUNION,414.18,202425
