S.No.,country,exp_inr_cr,year
120,LITHUANIA,785.50,201920
121,LUXEMBOURG,144.38,201920
122,MACAO,44.98,201920
123,MACEDONIA,160.22,201920
124,MADAGASCAR,"2,133.87",201920
125,MALAWI,"1,307.29",201920
126,MALAYSIA,"45,106.42",201920
127,MALDIVES,"1,608.09",201920
128,MALI,"1,037.78",201920
129,MALTA,"1,473.51",201920
130,MARSHALL ISLAND,231.35,201920
131,MARTINIQUE,26.86,201920
132,MAURITANIA,595.94,201920
133,MAURITIUS,"4,663.52",201920
134,MAYOTTE,22.22,201920
135,MEXICO,"25,652.61",201920
136,MICRONESIA,3.73,201920
137,MOLDOVA,61.50,201920
138,MONACO,13.93,201920
139,MONGOLIA,115.24,201920
140,MONTENEGRO,141.71,201920
141,MONTSERRAT,0.42,201920
142,MOROCCO,"5,662.07",201920
143,MOZAMBIQUE,"15,410.61",201920
144,MYANMAR,"6,910.48",201920
145,N. MARIANA IS.,1.05,201920
146,NAMIBIA,470.70,201920
147,NAURU RP,0.99,201920
148,NEPAL,"50,712.76",201920
149,NETHERLAND,"59,190.52",201920
150,NETHERLANDANTIL,212.40,201920
151,NEW CALEDONIA,107.98,201920
152,NEW ZEALAND,"2,682.27",201920
153,NICARAGUA,464.45,201920
154,NIGER,519.23,201920
155,NIGERIA,"25,600.96",201920
156,NIUE IS,0.0000,201920
157,NORFOLK IS,2.35,201920
158,NORWAY,"2,973.98",201920
159,OMAN,"16,080.81",201920
160,PAKISTAN IR,"5,717.73",201920
161,PALAU,0.38,201920
162,PANAMA C Z,0.0000,201920
163,PANAMA REPUBLIC,"1,689.58",201920
164,PAPUA N GNA,395.83,201920
165,PARAGUAY,899.48,201920
166,PERU,"5,408.59",201920
167,PHILIPPINES,"10,815.22",201920
168,PITCAIRN IS.,0.17,201920
169,POLAND,"10,967.14",201920
170,PORTUGAL,"5,283.50",201920
171,PUERTO RICO,965.21,201920
172,QATAR,"8,995.30",201920
173,REUNION,284.69,201920
174,ROMANIA,"2,596.28",201920
175,RUSSIA,"21,399.88",201920
176,RWANDA,878.22,201920
177,SAHARWI A.DM RP,0.02,201920
178,SAMOA,29.79,201920
179,SAN MARINO,1.71,201920
180,SAO TOME,10.61,201920
181,SAUDI ARAB,"44,266.86",201920
182,SENEGAL,"3,388.25",201920
183,SERBIA,593.71,201920
184,SEYCHELLES,479.69,201920
185,SIERRA LEONE,816.43,201920
186,SINGAPORE,"63,026.92",201920
187,SINT MAARTEN (DUTCH PART),0.0000,201920
188,SLOVAK REP,981.45,201920
189,SLOVENIA,"2,358.77",201920
190,SOLOMON IS,14.36,201920
191,SOMALIA,"4,143.35",201920
192,SOUTH AFRICA,"29,114.31",201920
193,SOUTH SUDAN,142.52,201920
194,SPAIN,"27,953.71",201920
195,SRI LANKA DSR,"26,934.54",201920
196,ST HELENA,2.27,201920
197,ST KITT N A,18.12,201920
198,ST LUCIA,22.93,201920
199,ST PIERRE,0.00,201920
200,ST VINCENT,4.83,201920
201,STATE OF PALEST,7.71,201920
202,SUDAN,"7,791.08",201920
203,SURINAME,221.05,201920
204,SVALLBARD AND J,0.0000,201920
205,SWAZILAND,131.93,201920
206,SWEDEN,"5,300.67",201920
207,SWITZERLAND,"8,505.30",201920
208,SYRIA,"1,129.94",201920
209,TAIWAN,"11,884.40",201920
210,TAJIKISTAN,166.63,201920
211,TANZANIA REP,"12,327.47",201920
212,THAILAND,"30,451.49",201920
213,TIMOR LESTE,44.97,201920
214,TOGO,"7,395.06",201920
215,TOKELAU IS,0.01,201920
216,TONGA,4.67,201920
217,TRINIDAD,602.30,201920
218,TUNISIA,"1,736.36",201920
219,TURKEY,"35,224.95",201920
220,TURKMENISTAN,239.64,201920
221,TURKS C IS,4.51,201920
222,TUVALU,0.01,201920
223,U ARAB EMTS,"2,04,237.82",201920
224,U K,"61,882.24",201920
225,U S A,"3,76,165.54",201920
226,UGANDA,"4,406.13",201920
227,UKRAINE,"3,286.22",201920
228,UNION OF SERBIA & MONTENEGRO,0.0000,201920
229,UNSPECIFIED,"18,020.82",201920
230,URUGUAY,"1,041.43",201920
231,US MINOR OUTLYING ISLANDS,2.80,201920
232,UZBEKISTAN,"1,275.77",201920
233,VANUATU REP,17.11,201920
234,VATICAN CITY,0.23,201920
235,VENEZUELA,"2,439.44",201920
236,VIETNAM SOC REP,"35,851.31",201920
237,VIRGIN IS US,563.87,201920
238,WALLIS F IS,0.0000,201920
239,YEMEN REPUBLC,"5,120.21",201920
240,ZAMBIA,"1,754.19",201920
241,ZIMBABWE,"1,137.50",201920
