S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"7,084.58",201920
2,ALBANIA,313.05,201920
3,ALGERIA,"4,316.87",201920
4,AMERI SAMOA,0.91,201920
5,ANDORRA,0.55,201920
6,ANGOLA,"2,019.22",201920
7,ANGUILLA,0.32,201920
8,ANTARTICA,0.15,201920
9,ANTIGUA,15.50,201920
10,ARGENTINA,"5,428.61",201920
11,ARMENIA,286.05,201920
12,ARUBA,70.03,201920
13,AUSTRALIA,"20,197.89",201920
14,AUSTRIA,"3,228.85",201920
15,AZERBAIJAN,376.06,201920
16,BAHAMAS,431.32,201920
17,BAHARAIN IS,"3,969.62",201920
18,BANGLADESH PR,"58,176.61",201920
19,BARBADOS,90.43,201920
20,BELARUS,395.02,201920
21,BELGIUM,"41,164.20",201920
22,BELIZE,101.06,201920
23,BENIN,"2,297.44",201920
24,BERMUDA,17.59,201920
25,BHUTAN,"5,235.29",201920
26,BOLIVIA,803.89,201920
27,BOSNIA-HRZGOVIN,108.48,201920
28,BOTSWANA,"1,265.32",201920
29,BR VIRGN IS,3.51,201920
30,BRAZIL,"28,118.24",201920
31,BRUNEI,409.07,201920
32,BULGARIA,"1,124.20",201920
33,BURKINA FASO,"1,090.75",201920
34,BURUNDI,414.36,201920
35,C AFRI REP,395.27,201920
36,CAMBODIA,"1,331.77",201920
37,CAMEROON,"1,621.24",201920
38,CANADA,"20,214.84",201920
39,CAPE VERDE IS,15.42,201920
40,CAYMAN IS,46.98,201920
41,CHAD,417.28,201920
42,CHILE,"5,611.74",201920
43,CHINA P RP,"1,17,673.31",201920
44,CHRISTMAS IS.,0.0000,201920
45,COLOMBIA,"7,397.69",201920
46,COMOROS,133.84,201920
47,CONGO D. REP.,"2,500.52",201920
48,CONGO P REP,800.60,201920
49,COOK IS,2.22,201920
50,COSTA RICA,897.97,201920
51,COTE D' IVOIRE,"2,940.60",201920
52,CROATIA,"1,043.20",201920
53,CUBA,336.53,201920
54,CYPRUS,"3,089.07",201920
55,CZECH REPUBLIC,"3,519.48",201920
56,DENMARK,"5,198.57",201920
57,DJIBOUTI,"2,233.90",201920
58,DOMINIC REP,"1,510.37",201920
59,DOMINICA,15.30,201920
60,ECUADOR,"1,791.21",201920
61,EGYPT A RP,"17,724.10",201920
62,EL SALVADOR,562.55,201920
63,EQUTL GUINEA,77.71,201920
64,ERITREA,42.01,201920
65,ESTONIA,462.98,201920
66,ETHIOPIA,"5,654.51",201920
67,FALKLAND IS,0.56,201920
68,FAROE IS.,6.37,201920
69,FIJI IS,394.03,201920
70,FINLAND,"1,902.71",201920
71,FR GUIANA,6.91,201920
72,FR POLYNESIA,42.74,201920
73,FRANCE,"36,111.60",201920
74,GABON,322.06,201920
75,GAMBIA,937.01,201920
76,GEORGIA,587.58,201920
77,GERMANY,"58,722.62",201920
78,GHANA,"4,374.52",201920
79,GIBRALTAR,"4,441.37",201920
80,GREECE,"3,161.93",201920
81,GREENLAND,0.19,201920
82,GRENADA,19.78,201920
83,GUADELOUPE,56.53,201920
84,GUAM,6.44,201920
85,GUATEMALA,"2,067.53",201920
86,GUERNSEY,0.00,201920
87,GUINEA,"2,515.87",201920
88,GUINEA BISSAU,63.63,201920
89,GUYANA,178.67,201920
90,HAITI,464.74,201920
91,HEARD MACDONALD,0.00,201920
92,HONDURAS,"1,313.52",201920
93,HONG KONG,"77,752.43",201920
94,HUNGARY,"3,003.44",201920
95,ICELAND,71.45,201920
96,INDONESIA,"29,299.38",201920
97,IRAN,"23,854.29",201920
98,IRAQ,"13,286.60",201920
99,IRELAND,"3,783.32",201920
100,ISRAEL,"23,807.39",201920
101,ITALY,"35,259.35",201920
102,JAMAICA,402.04,201920
103,JAPAN,"32,002.87",201920
104,JERSEY,0.0000,201920
105,JORDAN,"6,770.87",201920
106,KAZAKHSTAN,"1,435.60",201920
107,KENYA,"14,936.57",201920
108,KIRIBATI REP,2.72,201920
109,KOREA DP RP,63.75,201920
110,KOREA RP,"34,337.65",201920
111,KUWAIT,"9,111.91",201920
112,KYRGHYZSTAN,206.41,201920
113,LAO PD RP,177.38,201920
114,LATVIA,844.44,201920
115,LEBANON,"1,441.56",201920
116,LESOTHO,287.95,201920
117,LIBERIA,"1,549.14",201920
118,LIBYA,"1,306.90",201920
119,LIECHTENSTEIN,30.81,201920
