HSCode,Commodity,Im_INR,%Share,Year
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","3,260.22",0.0907,201819
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","4,510.25",0.1255,201819
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"3,515.67",0.0978,201819
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","5,239.55",0.1458,201819
65,HEADGEAR AND PARTS THEREOF.,195.28,0.0054,201819
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",261.71,0.0073,201819
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,178.69,0.0050,201819
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","7,040.88",0.1959,201819
69,CERAMIC PRODUCTS.,"4,185.31",0.1164,201819
70,GLASS AND GLASSWARE.,"9,473.22",0.2635,201819
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","4,51,505.08",12.5604,201819
72,IRON AND STEEL,"87,988.96",2.4478,201819
73,ARTICLES OF IRON OR STEEL,"35,657.85",0.9920,201819
74,COPPER AND ARTICLES THEREOF.,"36,872.62",1.0258,201819
75,NICKEL AND ARTICLES THEREOF.,"5,168.08",0.1438,201819
76,ALUMINIUM AND ARTICLES THEREOF.,"38,166.26",1.0617,201819
78,LEAD AND ARTICLES THEREOF.,"5,475.49",0.1523,201819
79,ZINC AND ARTICLES THEREOF.,"5,646.30",0.1571,201819
80,TIN AND ARTICLES THEREOF.,"1,578.07",0.0439,201819
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"3,435.60",0.0956,201819
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","8,324.62",0.2316,201819
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"6,910.40",0.1922,201819
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","3,06,368.42",8.5228,201819
85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"3,64,151.85",10.1303,201819
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","4,921.52",0.1369,201819
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","43,032.50",1.1971,201819
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","53,531.00",1.4892,201819
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","40,793.07",1.1348,201819
