HSCode,Commodity,INR,%Share,Year
01,LIVE ANIMALS.,76.88,0.0026,202021
02,MEAT AND EDIBLE MEAT OFFAL.,13.18,0.0005,202021
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","1,120.06",0.0384,202021
04,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,248.74,0.0085,202021
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",219.76,0.0075,202021
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,160.38,0.0055,202021
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"12,470.83",0.4277,202021
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"23,414.40",0.8030,202021
09,"COFFEE, TEA, MATE AND SPICES.","5,902.87",0.2024,202021
10,CEREALS.,357.16,0.0122,202021
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,492.84,0.0169,202021
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","5,579.88",0.1914,202021
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","1,891.43",0.0649,202021
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,795.61,0.0273,202021
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"83,743.66",2.8719,202021
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",58.43,0.0020,202021
17,SUGARS AND SUGAR CONFECTIONERY.,"5,574.78",0.1912,202021
18,COCOA AND COCOA PREPARATIONS.,"2,021.27",0.0693,202021
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",877.13,0.0301,202021
