HSCode,Commodity,INR,%Share,Year
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",648.59,0.0222,202021
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"1,450.90",0.0498,202021
22,"BEVERAGES, SPIRITS AND VINEGAR.","4,838.21",0.1659,202021
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"4,973.48",0.1706,202021
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,288.19,0.0099,202021
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEM...","17,324.99",0.5941,202021
26,"ORES, SLAG AND ASH.","17,983.59",0.6167,202021
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BIT...","737,396.49",25.2883,202021
28,INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS MET...,"50,955.46",1.7475,202021
29,ORGANIC CHEMICALS,"145,830.48",5.0011,202021
30,PHARMACEUTICAL PRODUCTS,"18,934.36",0.6493,202021
31,FERTILISERS.,"51,034.33",1.7502,202021
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS ...","14,036.00",0.4814,202021
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARA...","5,127.20",0.1758,202021
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICAT...","6,842.67",0.2347,202021
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"4,033.15",0.1383,202021
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTA...,65.92,0.0023,202021
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,"1,040.16",0.0357,202021
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"45,324.44",1.5544,202021
39,PLASTIC AND ARTICLES THEREOF.,"98,392.19",3.3743,202021
40,RUBBER AND ARTICLES THEREOF.,"21,525.82",0.7382,202021
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"2,378.52",0.0816,202021
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND...","1,320.51",0.0453,202021
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",30.44,0.0010,202021
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"11,747.76",0.4029,202021
45,CORK AND ARTICLES OF CORK.,40.16,0.0014,202021
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; B...",26.27,0.0009,202021
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCR...,"14,560.84",0.4994,202021
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERB...","13,096.22",0.4491,202021
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRIN...","1,792.32",0.0615,202021
50,SILK,733.60,0.0252,202021
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","1,220.27",0.0418,202021
52,COTTON.,"3,774.39",0.1294,202021
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAP...,"1,853.85",0.0636,202021
54,MAN-MADE FILAMENTS.,"6,726.93",0.2307,202021
55,MAN-MADE STAPLE FIBRES.,"6,179.99",0.2119,202021
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES A...","2,458.14",0.0843,202021
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,650.40,0.0223,202021
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TR...,"1,219.88",0.0418,202021
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ...","3,948.97",0.1354,202021
60,KNITTED OR CROCHETED FABRICS.,"3,580.36",0.1228,202021
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","2,900.46",0.0995,202021
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","3,619.63",0.1241,202021
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"4,484.89",0.1538,202021
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","3,101.24",0.1064,202021
65,HEADGEAR AND PARTS THEREOF.,214.05,0.0073,202021
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",163.48,0.0056,202021
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,89.60,0.0031,202021
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","5,176.77",0.1775,202021
69,CERAMIC PRODUCTS.,"3,995.78",0.1370,202021
70,GLASS AND GLASSWARE.,"7,457.28",0.2557,202021
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","406,038.12",13.9247,202021
72,IRON AND STEEL,"61,288.21",2.1018,202021
73,ARTICLES OF IRON OR STEEL,"27,945.80",0.9584,202021
74,COPPER AND ARTICLES THEREOF.,"34,149.92",1.1711,202021
75,NICKEL AND ARTICLES THEREOF.,"5,512.62",0.1891,202021
76,ALUMINIUM AND ARTICLES THEREOF.,"29,912.61",1.0258,202021
78,LEAD AND ARTICLES THEREOF.,"4,588.28",0.1574,202021
79,ZINC AND ARTICLES THEREOF.,"3,431.32",0.1177,202021
80,TIN AND ARTICLES THEREOF.,"1,484.81",0.0509,202021
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"2,506.05",0.0859,202021
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","7,648.29",0.2623,202021
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"5,476.05",0.1878,202021
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","274,024.59",9.3974,202021
85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"345,117.55",11.8355,202021
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","3,836.05",0.1316,202021
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","34,155.50",1.1713,202021
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","42,666.81",1.4632,202021
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","30,946.42",1.0613,202021
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","63,472.49",2.1767,202021
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"1,739.84",0.0597,202021
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,350.26,0.0120,202021
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,508.96,0.0175,202021
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","7,946.37",0.2725,202021
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","3,011.57",0.1033,202021
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"4,340.17",0.1488,202021
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,472.48,0.0162,202021
98,PROJECT GOODS; SOME SPECIAL USES.,"11,641.04",0.3992,202021
99,MISCELLANEOUS GOODS.,136.66,0.0047,202021
