HSCode,Commodity,INR,%Share,Year
01,LIVE ANIMALS.,158.33,0.0028,202324
02,MEAT AND EDIBLE MEAT OFFAL.,55.00,0.0010,202324
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","1,495.80",0.0266,202324
04,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,500.84,0.0089,202324
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",359.31,0.0064,202324
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,289.32,0.0052,202324
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"31,779.48",0.5659,202324
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"34,701.23",0.6179,202324
09,"COFFEE, TEA, MATE AND SPICES.","9,401.68",0.1674,202324
10,CEREALS.,"1,102.45",0.0196,202324
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,757.61,0.0135,202324
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","10,432.59",0.1858,202324
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","3,024.45",0.0539,202324
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,905.19,0.0161,202324
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"124,633.24",2.2192,202324
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",77.56,0.0014,202324
17,SUGARS AND SUGAR CONFECTIONERY.,"17,825.67",0.3174,202324
18,COCOA AND COCOA PREPARATIONS.,"4,247.27",0.0756,202324
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","1,297.00",0.0231,202324
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","1,170.46",0.0208,202324
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"1,555.21",0.0277,202324
22,"BEVERAGES, SPIRITS AND VINEGAR.","12,784.02",0.2276,202324
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"5,339.81",0.0951,202324
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,860.72,0.0153,202324
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEM...","35,219.28",0.6271,202324
26,"ORES, SLAG AND ASH.","49,592.21",0.8830,202324
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BIT...","1,813,985.31",32.3001,202324
28,INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS MET...,"75,653.18",1.3471,202324
29,ORGANIC CHEMICALS,"221,364.84",3.9417,202324
30,PHARMACEUTICAL PRODUCTS,"21,402.75",0.3811,202324
31,FERTILISERS.,"73,884.51",1.3156,202324
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS ...","30,116.34",0.5363,202324
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARA...","17,368.28",0.3093,202324
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICAT...","9,876.04",0.1759,202324
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"7,067.74",0.1258,202324
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTA...,170.07,0.0030,202324
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,"1,784.79",0.0318,202324
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"61,486.05",1.0948,202324
39,PLASTIC AND ARTICLES THEREOF.,"180,724.97",3.2180,202324
40,RUBBER AND ARTICLES THEREOF.,"32,404.83",0.5770,202324
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,318.91",0.0591,202324
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND...","4,210.60",0.0750,202324
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",51.49,0.0009,202324
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"18,847.34",0.3356,202324
45,CORK AND ARTICLES OF CORK.,96.41,0.0017,202324
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; B...",73.81,0.0013,202324
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCR...,"25,970.73",0.4624,202324
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERB...","24,986.89",0.4449,202324
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRIN...","2,496.31",0.0444,202324
50,SILK,"1,726.08",0.0307,202324
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","2,544.71",0.0453,202324
52,COTTON.,"6,539.55",0.1164,202324
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAP...,"5,178.09",0.0922,202324
54,MAN-MADE FILAMENTS.,"13,711.44",0.2441,202324
55,MAN-MADE STAPLE FIBRES.,"7,460.47",0.1328,202324
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES A...","3,466.51",0.0617,202324
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"1,303.65",0.0232,202324
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TR...,"1,651.92",0.0294,202324
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ...","6,392.03",0.1138,202324
60,KNITTED OR CROCHETED FABRICS.,"6,027.36",0.1073,202324
