HSCode,Commodity,INR,%Share,Year
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","5,283.11",0.0941,202324
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","7,044.97",0.1254,202324
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"5,311.18",0.0946,202324
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","5,991.08",0.1067,202324
65,HEADGEAR AND PARTS THEREOF.,369.63,0.0066,202324
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",412.88,0.0074,202324
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,379.97,0.0068,202324
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","8,369.04",0.1490,202324
69,CERAMIC PRODUCTS.,"8,003.09",0.1425,202324
70,GLASS AND GLASSWARE.,"14,767.69",0.2630,202324
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","650,015.33",11.5743,202324
72,IRON AND STEEL,"154,465.17",2.7504,202324
73,ARTICLES OF IRON OR STEEL,"42,328.49",0.7537,202324
74,COPPER AND ARTICLES THEREOF.,"76,437.69",1.3611,202324
75,NICKEL AND ARTICLES THEREOF.,"11,101.36",0.1977,202324
76,ALUMINIUM AND ARTICLES THEREOF.,"56,826.35",1.0119,202324
78,LEAD AND ARTICLES THEREOF.,"9,062.63",0.1614,202324
79,ZINC AND ARTICLES THEREOF.,"6,453.79",0.1149,202324
80,TIN AND ARTICLES THEREOF.,"2,805.11",0.0499,202324
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"5,508.88",0.0981,202324
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","11,265.49",0.2006,202324
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"9,984.25",0.1778,202324
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","475,313.15",8.4635,202324
85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"656,670.40",11.6928,202324
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","6,433.74",0.1146,202324
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","62,993.75",1.1217,202324
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","105,184.34",1.8729,202324
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","31,093.09",0.5536,202324
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","107,001.76",1.9053,202324
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"4,799.90",0.0855,202324
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,562.54,0.0100,202324
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,"1,196.44",0.0213,202324
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","13,173.61",0.2346,202324
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","4,285.35",0.0763,202324
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"6,124.44",0.1091,202324
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,"3,870.52",0.0689,202324
98,PROJECT GOODS; SOME SPECIAL USES.,"12,157.76",0.2165,202324
99,MISCELLANEOUS GOODS.,84.62,0.0015,202324
