HSCode,Commodity,INR,%Share,Year
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","6,181.03",0.1013,202425
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","7,728.90",0.1267,202425
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"5,379.63",0.0882,202425
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","5,727.05",0.0939,202425
65,HEADGEAR AND PARTS THEREOF.,361.54,0.0059,202425
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",441.58,0.0072,202425
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,292.50,0.0048,202425
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","9,055.77",0.1485,202425
69,CERAMIC PRODUCTS.,"8,157.44",0.1337,202425
70,GLASS AND GLASSWARE.,"18,617.76",0.3052,202425
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","752,518.15",12.3379,202425
72,IRON AND STEEL,"147,110.80",2.4119,202425
73,ARTICLES OF IRON OR STEEL,"44,528.28",0.7301,202425
74,COPPER AND ARTICLES THEREOF.,"89,662.07",1.4700,202425
75,NICKEL AND ARTICLES THEREOF.,"10,445.59",0.1713,202425
76,ALUMINIUM AND ARTICLES THEREOF.,"70,031.88",1.1482,202425
78,LEAD AND ARTICLES THEREOF.,"10,820.62",0.1774,202425
79,ZINC AND ARTICLES THEREOF.,"6,965.10",0.1142,202425
80,TIN AND ARTICLES THEREOF.,"4,183.89",0.0686,202425
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"5,743.09",0.0942,202425
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","12,609.90",0.2067,202425
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"10,650.11",0.1746,202425
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","544,335.30",8.9246,202425
85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"750,323.99",12.3019,202425
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","6,329.57",0.1038,202425
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","69,887.88",1.1458,202425
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","117,672.77",1.9293,202425
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","39,238.50",0.6433,202425
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","117,534.48",1.9270,202425
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"5,532.84",0.0907,202425
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,643.05,0.0105,202425
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,"1,888.32",0.0310,202425
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","14,558.44",0.2387,202425
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","4,615.91",0.0757,202425
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"5,675.66",0.0931,202425
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,"2,690.26",0.0441,202425
98,PROJECT GOODS; SOME SPECIAL USES.,"10,395.25",0.1704,202425
99,MISCELLANEOUS GOODS.,54.99,0.0009,202425
