HSCode,Commodity,INR,%Share,Year
01,LIVE ANIMALS.,77.77,0.0017,202122
02,MEAT AND EDIBLE MEAT OFFAL.,30.72,0.0007,202122
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","1,256.73",0.0275,202122
04,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,224.68,0.0049,202122
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",329.12,0.0072,202122
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,258.53,0.0057,202122
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"17,305.83",0.3785,202122
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"27,869.46",0.6095,202122
09,"COFFEE, TEA, MATE AND SPICES.","7,032.11",0.1538,202122
10,CEREALS.,420.30,0.0092,202122
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,571.09,0.0125,202122
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","6,755.78",0.1477,202122
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","2,122.70",0.0464,202122
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,786.17,0.0172,202122
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"144,239.44",3.1543,202122
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",91.41,0.0020,202122
17,SUGARS AND SUGAR CONFECTIONERY.,"2,242.33",0.0490,202122
18,COCOA AND COCOA PREPARATIONS.,"2,713.93",0.0593,202122
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","1,157.44",0.0253,202122
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",997.06,0.0218,202122
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"1,883.58",0.0412,202122
