HSCode,Commodity,INR,%Share,Year
22,"BEVERAGES, SPIRITS AND VINEGAR.","6,544.88",0.1431,202122
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"9,291.15",0.2032,202122
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,470.99,0.0103,202122
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEM...","30,009.58",0.6563,202122
26,"ORES, SLAG AND ASH.","42,688.86",0.9335,202122
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BIT...","1,454,623.19",31.8105,202122
28,INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS MET...,"76,356.09",1.6698,202122
29,ORGANIC CHEMICALS,"212,614.95",4.6496,202122
30,PHARMACEUTICAL PRODUCTS,"25,602.96",0.5599,202122
31,FERTILISERS.,"95,328.83",2.0847,202122
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS ...","19,431.15",0.4249,202122
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARA...","7,858.45",0.1719,202122
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICAT...","9,470.94",0.2071,202122
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"6,005.81",0.1313,202122
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTA...,91.47,0.0020,202122
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,"1,515.66",0.0331,202122
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"58,634.01",1.2822,202122
39,PLASTIC AND ARTICLES THEREOF.,"149,066.59",3.2599,202122
40,RUBBER AND ARTICLES THEREOF.,"30,821.30",0.6740,202122
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,164.88",0.0692,202122
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND...","2,578.74",0.0564,202122
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",40.11,0.0009,202122
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"15,152.08",0.3314,202122
45,CORK AND ARTICLES OF CORK.,62.88,0.0014,202122
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; B...",46.90,0.0010,202122
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCR...,"25,723.64",0.5625,202122
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERB...","16,883.93",0.3692,202122
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRIN...","2,164.73",0.0473,202122
50,SILK,"1,104.87",0.0242,202122
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","2,084.29",0.0456,202122
52,COTTON.,"5,508.27",0.1205,202122
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAP...,"3,135.63",0.0686,202122
54,MAN-MADE FILAMENTS.,"11,143.80",0.2437,202122
55,MAN-MADE STAPLE FIBRES.,"7,714.07",0.1687,202122
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES A...","3,308.52",0.0724,202122
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,856.87,0.0187,202122
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TR...,"1,840.18",0.0402,202122
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ...","6,368.72",0.1393,202122
60,KNITTED OR CROCHETED FABRICS.,"5,022.23",0.1098,202122
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","4,515.39",0.0987,202122
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","4,922.65",0.1077,202122
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"4,633.00",0.1013,202122
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","4,797.51",0.1049,202122
65,HEADGEAR AND PARTS THEREOF.,241.63,0.0053,202122
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",177.94,0.0039,202122
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,179.56,0.0039,202122
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","7,011.67",0.1533,202122
69,CERAMIC PRODUCTS.,"5,183.26",0.1134,202122
70,GLASS AND GLASSWARE.,"10,614.05",0.2321,202122
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","608,876.00",13.3152,202122
72,IRON AND STEEL,"94,052.67",2.0568,202122
73,ARTICLES OF IRON OR STEEL,"35,107.15",0.7677,202122
74,COPPER AND ARTICLES THEREOF.,"52,594.14",1.1502,202122
75,NICKEL AND ARTICLES THEREOF.,"7,943.11",0.1737,202122
76,ALUMINIUM AND ARTICLES THEREOF.,"45,288.77",0.9904,202122
78,LEAD AND ARTICLES THEREOF.,"5,296.99",0.1158,202122
79,ZINC AND ARTICLES THEREOF.,"5,072.25",0.1109,202122
80,TIN AND ARTICLES THEREOF.,"2,869.67",0.0628,202122
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"4,724.15",0.1033,202122
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","9,512.02",0.2080,202122
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"8,461.04",0.1850,202122
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","377,114.65",8.2470,202122
85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"466,315.93",10.1977,202122
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","3,811.49",0.0834,202122
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","47,282.92",1.0340,202122
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","37,235.41",0.8143,202122
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","31,571.29",0.6904,202122
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","84,373.19",1.8451,202122
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"2,910.48",0.0636,202122
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,440.96,0.0096,202122
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,971.18,0.0212,202122
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","10,011.37",0.2189,202122
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","2,927.18",0.0640,202122
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"5,288.52",0.1157,202122
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,490.54,0.0107,202122
98,PROJECT GOODS; SOME SPECIAL USES.,"11,163.02",0.2441,202122
99,MISCELLANEOUS GOODS.,93.46,0.0020,202122
