HSCode,Commodity,INR,%Share,Year
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","3,523.45",0.1048,201920
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","4,584.05",0.1364,201920
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"4,081.53",0.1214,201920
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","5,315.79",0.1582,201920
65,HEADGEAR AND PARTS THEREOF.,222.39,0.0066,201920
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",240.25,0.0071,201920
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,198.72,0.0059,201920
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","6,137.61",0.1826,201920
69,CERAMIC PRODUCTS.,"4,291.42",0.1277,201920
70,GLASS AND GLASSWARE.,"8,655.34",0.2575,201920
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","385,139.83",11.4592,201920
72,IRON AND STEEL,"75,854.84",2.2569,201920
73,ARTICLES OF IRON OR STEEL,"32,944.76",0.9802,201920
74,COPPER AND ARTICLES THEREOF.,"36,101.82",1.0742,201920
75,NICKEL AND ARTICLES THEREOF.,"5,549.43",0.1651,201920
76,ALUMINIUM AND ARTICLES THEREOF.,"31,094.55",0.9252,201920
78,LEAD AND ARTICLES THEREOF.,"4,992.34",0.1485,201920
79,ZINC AND ARTICLES THEREOF.,"4,615.40",0.1373,201920
80,TIN AND ARTICLES THEREOF.,"1,525.44",0.0454,201920
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"3,029.12",0.0901,201920
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","8,060.97",0.2398,201920
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"6,627.73",0.1972,201920
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","307,067.25",9.1363,201920
85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"348,091.08",10.3569,201920
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","3,470.14",0.1032,201920
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","37,127.73",1.1047,201920
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","70,575.13",2.0999,201920
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","40,435.46",1.2031,201920
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","65,535.03",1.9499,201920
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"2,480.53",0.0738,201920
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,359.48,0.0107,201920
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,435.61,0.0130,201920
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","11,365.27",0.3382,201920
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","3,975.50",0.1183,201920
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"4,267.21",0.1270,201920
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,820.02,0.0244,201920
98,PROJECT GOODS; SOME SPECIAL USES.,"14,617.99",0.4349,201920
99,MISCELLANEOUS GOODS.,258.66,0.0077,201920
